filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
normalized-ECrand4regsplit-v030-n1.opb.xz,0.08954763412475586,UNSATISFIABLE,0.00554123,0.000809928,0.00462129,0.00102162,0.00462129,0,0.000651654,0,0,0.00111024,6.95e-06,0.000477549,0,0.00021232,0,0.000550309,0.000222292,0.000144536,3.99314e-05,0,0,0,0.00282257,0.000205253,0,0,606,176,34,0,0,59,0,2,58,0,3.93333,1.96667,0.5,12,8,14,18.4412,8.38235,0.293013,10.3235,0,0,0,0,14,0,0,124,4.363e-06,0,1,0,2,0,0,306,4,1,0,201,0,0,0,0,0,37,515,5,0,1663,60,3895,3277,0,0,1984,2362,0,816,60,0,33,0,0,0,238,0,67,0,0,0,0,0,0,0,0,1,1,29.5,60,0,42,9912,118,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
normalized-rand6reg-v051-n2.opb.xz,0.09406542778015137,UNSATISFIABLE,0.0126827,0.00141896,0.0111573,0.00432224,0.0111573,0,0.00218255,0,0,0.00237878,0,0.00181546,0,0.00258084,0,0.00257043,0.000630588,0.00218835,0.00123439,0,0,0.01,0.00375391,0.000581706,0,0,4568,613,32,0,0,153,0,51,51,0,6,3,0.5,7,72,17,36.6979,10.6042,0.578884,14,0,0,0,0,17,0,0,541,1.0899e-05,0,0,0,526,64,0,310,0,1,0,250,0,0,0,0,0,177,4295,22,0,5645,89,27108,14377,3,2,6504,11882,0,5213,102,0,31,0,0,0,258,0,50,0,0,0,0,0,0,0,0,1,1,25.5,102,0,57,34884,306,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
normalized-3_4_10.opb.xz,0.12075185775756836,UNSATISFIABLE,0.0418871,0.00530259,0.0364991,0.0156329,0.0364991,0,0.00645371,0,0,0.00514909,0.000201821,0.00729976,0,0.00451301,0,0.0014428,0.000775715,0.00398803,0.00294047,0,0,0.01,0.0385351,0.00530244,0,0,20751,1107,264,2,0,182,0,819,3,0,2.79197,1.02068,0.391893,262,20,2,7.98239,1.28521,0.212056,4.24296,104,1,107,0,2,0,0,739,8.9734e-05,0,0,12,418,6,0,3196,352,3,0,166,0,0,0,0,0,20088,365,2,0,55523,4,67872,22175,0,0,14238,14364,0,22020,797,24,265,0,0,0,2609,0,584,0,0,0,0,0,3,0,0,1,1,53.7941,690,0,448,883008,425,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normalized-fpga25_24_sat_pb.cnf.cr.opb.xz,0.2076876163482666,OPTIMUM FOUND,0.127952,0.0151347,0.112716,0.106006,0.0947648,0.0179511,0.0180654,0,0,0.007007,2.2572e-05,0.0142391,0,0.0448815,0,0.00788213,0.00332599,0.0177258,0.0241929,0,0,0.04,0.0962045,0.0535957,0,1,85947,5842,201,2,0,900,0,9474,49,0,2.83524,1.08422,0.474446,69,214,38,93.9657,37.6698,0.503746,35.296,0,0,0,0,38,0,0,3038,5.2135e-05,0,0,0,3877,119,0,1133,23,1,0,4855,0,0,0,0,0,42716,42394,79,0,110552,232,370031,183986,0,0,59919,130588,0,91990,673,8850,201,0,0,0,764,51,318,0,0,0,0,0,0,0,0,0,0,25,673,0,899,8360700,6658,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normalized-t3002.11tsp11.1900566263.opb.xz,0.23895525932312012,OPTIMUM FOUND,0.155257,0.0196392,0.135506,0.148197,0.018494,0.117012,0.138458,0,0,0.0422937,0.000576823,0.0471549,0,0.00386271,0,0.0292949,0.00509463,0.00349577,0.00238283,0,0,0.01,0.0414936,0.0168944,0,1,64226,2469,1048,6,0,231,0,2684,22,1,3.08016,1.28075,0.351171,620,33,424,35.5515,1.28935e+07,0.195779,12.1068,0,0,0,0,425,0,0,641,0.000115354,0,0,0,546,26,0,10497,1025,269,0,82047,0,150,62,135,3,28197,12156,21246,0,151077,9414,1358193,412778,10370,2306,170541,297014,0,67743,2707,0,1048,0,0,0,8932,0,1560,0,0,0,0,0,0,0,0,0,0,11,2707,0,357,2976666,671,3,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,4
normalized-subsetcard-eq-random4reg-1250.shuf-2.opb.xz,0.2604868412017822,UNSATISFIABLE,0.186237,0.0563406,0.129794,0.307353,0.129794,0,0.0816986,0,0,0.0263949,0,0.0096376,0,0.0129192,0,0.0220358,0.0127242,0.00863697,0.0031403,0,0,0.04,0.110033,0.215463,0,0,12745,12498,349,1,0,5001,0,0,5000,0,4.0008,2.0004,0.5,0,348,0,622.259,311.546,0.503887,50.408,0,0,0,0,0,0,0,10006,7.614e-06,0,0,0,0,0,0,3003,0,0,0,0,0,0,0,0,0,0,11331,0,0,46891,0,200647,120831,0,0,224183,473100,0,25592,5000,0,348,0,0,0,2656,0,347,0,0,0,0,0,0,0,0,1,1,nan,5000,0,2000,40008000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normalized-ECrand4regsplit-v040-n1.opb.xz,0.028118371963500977,UNSATISFIABLE,0.0165035,0.000545614,0.0159068,0.0103459,0.0159068,0,0.00978712,0,0,0.00572572,3.0969e-05,0.00512573,0,0.000164598,0,0.00300474,0.000826746,0.000107498,5.22268e-05,0,0,0,0.00380854,0.00119716,0,0,3811,469,220,2,0,79,0,2,78,0,3.95,1.975,0.5,98,18,108,30.1339,15.9509,0.2243,12.6429,0,0,0,0,108,0,0,168,1.0031e-05,0,1,0,2,0,0,2182,34,3,4,2411,0,2,0,1,0,87,3091,335,0,24754,1261,138637,39004,71,42,21394,27490,0,4500,80,0,219,0,0,0,1665,0,512,0,0,0,0,0,0,0,0,1,1,39.5,80,0,106,33496,790,9,9,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
normalized-ooo.burch_dill.4.accl.ucl.opb.xz,0.30490612983703613,UNSATISFIABLE,0.235755,0.0642791,0.171382,0.299637,0.171382,0,0.0528476,0,0,0.0265516,0.000505509,0.0705316,0,0.0719848,0,0.00558667,0.00572049,0.0679951,0.100315,0,0,0.03,0.0765976,0.134812,0,0,525236,2748,795,5,0,3939,0,9763,0,672,2.98687,4.70599,0.43969,893,28,1,13.5586,7.09315e+06,0.217327,4.17245,1917,0,3585,0,673,0,0,904,0.00133849,169,114,7,17472,28,1042,29464,1664,0,0,10,0,0,0,0,0,519893,4422,27,0,616331,1589,347487,552734,0,0,119629,120879,0,526933,10412,23,865,0,0,0,26545,0,2875,0,0,0,22,8,14,0,0,1,1,337.191,6827,0,1045,23983795,4388,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normalized-3col-left3reg-l010-r010-n1.cnf-plain.pb.metafix.opb.xz,0.10004901885986328,UNSATISFIABLE,0.0812499,0.0167028,0.0644544,0.0523355,0.0644544,0,0.0288685,0,0,0.0122786,0.000330636,0.0234147,0,0.00904845,0,0.0048493,0.00337515,0.00690793,0.00447145,0,0,0.01,0.0252928,0.0161836,0,0,92834,9469,676,5,0,753,0,3110,0,0,2.08071,1,0.486549,679,1,0,8.46912,1.36765,0.251484,2.83088,279,0,0,0,0,0,0,2854,0.000212619,104,1,0,2158,0,0,11662,427,1,0,0,0,0,0,0,0,92155,0,0,0,147284,0,116456,92407,0,0,42415,37714,0,102703,2357,753,678,0,0,0,8793,0,2869,0,0,0,0,0,0,0,0,1,1,251,2357,0,569,2825085,753,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normalized-ECrand6reg-v041-n1.opb.xz,0.11386251449584961,UNSATISFIABLE,0.0974794,0.00121935,0.0961647,0.045963,0.0961647,0,0.0450108,0,0,0.0361531,0.000503228,0.0381618,0,0.000357545,0,0.015738,0.00423329,0.0002374,7.33772e-05,0,0,0.02,0.0120109,0.00474397,0,0,18647,6603,989,6,0,123,0,0,82,0,6,3,0.5,561,37,403,26.6993,8.81219,0.198143,16.4535,3,0,0,0,403,0,0,266,4.4199e-05,0,0,0,0,0,0,5244,746,7,12,4460,0,2,1,1,0,342,9715,6418,0,154114,8668,902502,211687,1017,544,81971,120358,0,26236,82,0,988,0,0,0,2582,0,2662,0,0,0,0,0,0,0,0,1,1,61.5,82,0,237,116604,3198,13,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
normalized-3col-left3reg-l020-r019-n1.cnf-plain.pb.metafix.opb.xz,0.42252206802368164,UNSATISFIABLE,0.344517,0.0266581,0.317762,0.353732,0.0560663,0.261696,0.268088,0,0,0.0770634,0.00298323,0.144217,0.00208337,0.0623665,0,0.0210668,0.015624,0.0580182,0.100016,0,0,0.02,0.0631385,0.0706227,0,0,815672,39888,2015,13,1,1521,0,6327,0,0,2.08013,1,0.486644,2275,11,0,14.0901,1.44619,0.20797,3.45626,516,0,705,183,0,0,0,10622,0.000351115,4,74,82,18684,9,72,64343,8139,1,0,0,0,0,0,0,0,813523,44,0,0,1314048,0,1150008,813646,0,0,246700,181211,0,857063,4806,1521,2188,0,0,0,48688,0,15654,0,0,0,0,1,0,0,0,1,1,507,4794,0,1263,12749985,1521,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
normalized-fpga11_10_sat_pb.cnf.cr.opb.xz,0.029714584350585938,OPTIMUM FOUND,0.0143164,0.00217695,0.0120527,0.00457008,0.0108332,0.00121952,0.000405698,0,0,0.000503569,0,0.00183857,0,0.00485306,0,0.000551662,0.000196861,0.00292727,0.00199531,0,0,0,0.00988881,0.00125785,0,1,6321,698,11,0,0,165,0,780,21,0,2.81523,1.15356,0.458563,2,58,3,16.4921,7.38095,0.713878,11.619,0,0,0,0,3,0,0,562,1.3454e-05,0,0,0,607,51,0,88,0,1,0,109,0,0,0,0,0,3247,3049,0,0,9188,6,12060,10308,0,0,1555,7114,0,7030,141,660,11,0,0,0,80,0,8,0,0,0,0,0,0,0,0,0,0,11,141,0,122,114070,500,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normalized-pigeon-cardinality-11-10.opb.xz,0.039453744888305664,UNSATISFIABLE,0.00249977,0.000403571,0.0020439,0.00221527,0.0020439,0,0,0,0,0,0,0.000357299,0,0.00124472,0,3.5304e-05,1.4907e-05,0.000740185,0.00146412,0,0,0,0,0.00032462,0,0,5149,381,0,0,0,110,0,506,10,0,2.34496,1.17442,0.499401,0,26,0,9.42308,8.42308,0.893591,9.42308,0,0,0,0,0,0,0,381,0,0,0,0,439,26,0,0,0,0,0,0,0,0,0,0,0,2439,2710,0,0,4036,0,2427,7464,0,0,220,2910,0,5530,21,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,nan,21,0,35,7700,220,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
