filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
knapPI_16_20_1000_3_-2189.opb.bz2,0.03167891502380371,OPTIMUM FOUND,0.0154085,0.000583004,0.0147368,0.0121457,0.00839307,0.00339105,0.00241428,0.00295268,0.00214961,0.000972965,2.3809e-05,0.00669158,0,0.0060903,0,0.000752161,0.000118041,0.00604108,0.00728576,0,0,0,0.00278816,0.00114016,2,4,31693,809,27,0,0,60,69,47,58,39,27.4167,744.424,0.527942,20,32,27,16.0886,1685085811,0.813755,12.6582,129,0,0,0,66,0,0,677,0.000279347,22,2,0,669,27,0,126,20,12,5,258,0,12,21,28,1,119,149,31297,0,9580,2246,70824,212622,49,16,4001,17757,0,32402,1,0,29,12,131,0,28,0,43,28,11,0,0,0,0,1,56,-3267,-3267,-3464.12,1,0,29,4270,868,16,15,2,1,1,13,0,0,0,0,0,0,0,0,0,0,0,16,0
knapPI_16_100_1000_4_-8018.opb.bz2,0.09169745445251465,OPTIMUM FOUND,0.0747087,0.00248306,0.0721342,0.0907008,0.0216972,0.0129226,0.0345217,0.0375145,0.0540795,0.00524619,1.17e-07,0.0228566,0,0.0011583,0,0.00281856,0.00112403,0.000971208,0.000385387,0,0,0.01,0.00951534,0.00917098,1,3,4745,3277,49,0,0,400,290,0,290,296,212.002,1049.16,0.497728,6,12,48,82.0606,1.04343e+10,0.66783,20.5758,685,0,0,0,344,0,0,815,9.3979e-05,0,0,0,3,0,0,247,0,11,12,2845,0,32,23,54,0,12,40,4123,0,107850,22336,1377422,831656,11,15,89718,375689,0,7388,1,0,50,5,580,0,9,0,26,148,12,0,0,0,0,0,289,-11037,-11037,-11146.5,1,0,27,27857,7009,28,25,14,3,3,13,0,0,0,0,0,0,0,0,0,0,0,50,2
knapPI_16_20_1000_5_-3230.opb.bz2,0.0350956916809082,OPTIMUM FOUND,0.0089151,0.000283943,0.00859525,0.0295543,0.00621508,0.00112277,0.00251501,0.00125741,0.00369865,0.000183756,5.7e-08,0.00440654,0,0.00553417,0,0.000238733,4.37e-05,0.00551271,0.0229265,0,0,0,0.00088553,0.00134897,1,3,100308,1631,17,0,0,100,87,39,87,56,47.7912,763.632,0.494341,3,56,16,24.1467,7.07824e+08,0.869384,20.6533,178,0,0,0,72,0,0,1445,1.4349e-05,0,0,0,1288,50,0,53,0,5,6,236,0,7,15,20,0,73,73,100024,0,25857,2560,37650,814256,0,0,5878,28427,0,101778,1,0,17,7,174,0,15,0,7,31,0,0,0,0,0,1,86,-4437,-4437,-4491.87,1,0,20,5044,1027,15,12,4,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
knapPI_16_200_1000_1_-5370.opb.bz2,0.1274726390838623,OPTIMUM FOUND,0.111947,0.00135637,0.110497,0.166843,0.0699174,0.021455,0.0344853,0.0191245,0.0297721,0.00526148,3.6824e-05,0.0618845,0,0.062657,0,0.00288353,0.000667613,0.0625561,0.100048,0,0,0,0.00971625,0.0167425,32,10,452911,5120,203,2,0,200,358,228,213,191,62.2896,672.668,0.579301,86,60,172,24.3302,1.5366e+09,0.584864,15.1384,542,0,0,0,363,0,0,2837,0.000456845,30,0,0,2769,46,0,909,59,155,14,2796,0,101,71,158,5,649,356,450595,0,126419,36195,1587460,4533280,2837,771,43177,211995,0,457696,1,0,210,43,588,0,74,0,385,238,102,0,0,0,0,23,176,-5370,-5370,-5476.2,1,0,110,39534,12843,84,75,20,9,9,53,0,0,0,0,0,0,0,0,0,0,0,96,14
knapPI_16_500_1000_5_-45921.opb.bz2,1.3104710578918457,OPTIMUM FOUND,1.28118,0.00479142,1.27635,2.32392,0.738073,0.0987345,1.38877,0.439541,0.921894,0.124347,7.6277e-05,0.649278,0,0.00202465,0,0.0593399,0.0247348,0.0016949,0.00170402,0,0,0.03,0.140616,0.233272,1,4,55163,23683,562,4,0,2500,715,0,715,722,1466.77,3188.88,0.497794,74,5,552,149.16,1.22313e+10,0.338796,42.1616,3208,0,0,0,1274,0,0,5017,0.00137056,0,0,4,365,0,0,2837,13,98,4,65443,0,439,428,842,3,55,295,48812,0,2954186,1206994,76668914,25174914,7634,22536,2708381,8642431,0,76202,1,0,563,6,1430,0,10,0,1495,818,44,0,0,0,0,0,715,-70036,-70036,-70117.9,1,0,120,895000,177500,92,85,29,7,7,57,0,0,0,0,0,0,0,0,0,0,0,425,45
knapPI_16_2000_1000_1_-54945.opb.bz2,1.6132783889770508,OPTIMUM FOUND,1.59149,0.0113255,1.58007,3.81007,0.0515728,1.12392,1.90307,0.404576,1.88159,0.195795,0.00398419,0.876429,0,0.00465018,0,0.0925386,0.0279144,0.00389756,0.00138558,0,0,0.1,0.142545,0.383102,7,26,73381,34756,660,5,0,2000,4056,3158,688,938,332.824,1040.43,0.83814,46,19,754,328.719,1.88241e+10,0.422402,48.9389,5946,0,0,0,1692,0,0,4048,0.00823463,28,1,0,960,0,0,3546,62,3218,16,81145,0,700,451,1083,0,42,129,64564,0,4370422,2637846,110130587,138348418,11536,12044,2407042,14514426,0,102851,1,0,661,34,4749,0,133,0,1873,1013,106,0,0,0,0,6,681,-54945,-54945,-55038.7,1,0,279,1010189,293431,197,179,62,18,18,120,0,0,0,0,0,0,0,0,0,0,0,303,118
knapPI_16_20_1000_1_-2291.opb.bz2,0.04034090042114258,OPTIMUM FOUND,0.00144374,0.000150559,0.00125798,0.00124111,0.000967249,0.000169215,0.000583581,0.000121519,0.000189617,0.000162595,4.12e-07,0.000315102,0,0.000161111,0,7.188e-05,1.4312e-05,0.000152305,0.000386898,0,0,0,0.000424872,0.00013101,1,2,1799,155,14,0,0,20,18,11,18,14,12.4884,769.163,0.501686,8,13,7,7.92857,7.93143e+08,0.714215,6.39286,34,0,0,0,21,0,0,121,2.6752e-05,4,0,0,86,9,0,87,1,8,4,130,0,2,2,4,0,71,46,1653,0,1446,380,7276,8308,0,0,1018,2819,0,1936,1,0,15,6,36,0,24,0,10,10,43,0,0,0,0,0,18,-2291,-2291,-2563.47,1,0,8,428,100,5,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
knapPI_16_50_1000_1_-3408.opb.bz2,0.02435469627380371,OPTIMUM FOUND,0.00863571,0.000545569,0.00799938,0.00620149,0.00524801,0.00149154,0.00107107,0.00125983,0.00109188,0.000379112,1.285e-06,0.003026,0,0.00326556,0,0.00037972,6.9435e-05,0.0032301,0.00384225,0,0,0,0.00159764,0.000509167,1,2,16462,569,8,0,0,50,46,28,46,25,27.1414,810.556,0.497303,2,25,6,17.0606,7.66728e+08,0.838061,14.7273,74,0,0,0,31,0,0,440,1.8891e-05,0,0,0,366,20,0,38,0,3,5,116,0,3,8,11,0,81,39,16288,0,4095,703,29854,78672,0,0,2385,9553,0,16965,1,0,8,6,92,0,7,0,3,15,13,0,0,0,0,0,46,-3408,-3408,-3511.16,1,0,10,1340,390,6,3,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
knapPI_16_50_1000_2_-3322.opb.bz2,0.04575204849243164,OPTIMUM FOUND,0.02912,0.000814893,0.0282117,0.0313748,0.023378,0.000957487,0.00191446,0.00387628,0.00393959,0.000356107,0,0.0147442,0,0.0202992,0,0.000598503,9.8641e-05,0.0202321,0.0251391,0,0,0,0.00202478,0.00116366,1,2,111512,1669,9,0,0,100,86,49,86,42,52.2825,844.175,0.497078,6,44,7,29.614,9.08034e+08,0.874663,27.0702,181,0,0,0,49,0,0,1469,0.00012133,9,0,0,1325,38,0,40,0,8,6,177,0,4,2,6,0,148,16,111245,0,21488,1941,32230,859736,2,0,5711,28175,0,113013,1,0,12,4,172,0,4,0,4,21,5,0,0,0,0,1,86,-3906,-3906,-4040.09,1,0,14,3616,889,7,4,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,6,0
knapPI_16_100_1000_1_-4400.opb.bz2,0.06716680526733398,OPTIMUM FOUND,0.0351141,0.000290621,0.0347918,0.037144,0.00891264,0.000181222,0.00317654,0.0256979,0.00420714,0.000218685,0,0.00566121,0,0.00713846,0,0.000267497,2.6845e-05,0.00711783,0.0293678,0,0,0,0.000892506,0.000914401,1,2,126658,1876,11,0,0,100,93,46,93,52,52.1885,749.351,0.497194,0,58,14,34.2361,1.65838e+09,0.940893,25.625,166,0,0,0,66,0,0,1654,7.135e-06,0,0,0,1492,55,0,39,0,0,3,488,0,0,1,1,0,263,25,126227,0,33494,3034,209173,1096293,0,0,7344,35284,0,128380,1,0,11,4,186,0,21,0,4,12,2,0,0,0,0,0,92,-4400,-4400,-4486.7,1,0,9,2500,700,11,10,5,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
