filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
knapPI_15_50_1000_1_-1005.opb.bz2,0.10040593147277832,OPTIMUM FOUND,0.0223891,0.000528795,0.0217518,0.0153415,0.00798209,0.00731305,0.00595652,0.00645662,0.00479148,0.00436739,2.8797e-05,0.00919934,0,0.00326372,0,0.00209457,0.000529743,0.00322023,0.00384321,0,0,0,0.00402496,0.00155124,29,6,21380,2126,79,0,0,50,86,74,97,86,21.7043,853.424,0.486224,47,32,60,18.2014,1.72123e+09,0.620822,13.777,107,0,0,0,146,0,0,459,0.00100313,38,0,8,613,20,0,380,445,97,10,1455,0,36,43,76,0,889,830,18253,0,17021,3888,141853,178421,200,732,9402,35741,0,23486,1,0,90,55,201,0,116,0,89,51,89,0,3,0,0,3,45,-1005,-1005,-1009.27,1,0,35,4843,1185,24,21,3,3,3,18,0,0,0,0,0,0,0,0,0,0,0,30,2
knapPI_15_20_1000_2_-948.opb.bz2,0.10385990142822266,OPTIMUM FOUND,0.0246212,0.000479432,0.0240397,0.0142641,0.00474816,0.0100035,0.00574684,0.00928814,0.00566572,0.00503704,3.4362e-05,0.0110639,0,0.00199208,0,0.00248096,0.000734726,0.00196029,0.00217789,0,0,0,0.00469726,0.00138929,26,10,15013,1539,118,1,0,40,76,68,84,101,18.9723,599.474,0.463036,43,27,105,15.5886,1.34745e+09,0.552666,10.9829,36,0,0,0,206,0,0,356,0.00118903,8,0,4,432,16,0,521,40,117,9,1917,0,21,52,62,0,1174,1070,11456,0,23894,6833,148316,198807,899,1640,9482,33932,0,16641,1,0,130,68,184,0,169,0,156,54,138,0,2,0,2,3,36,-954,-954,-956.489,1,0,48,5362,1057,35,33,8,2,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0
knapPI_15_20_1000_5_-969.opb.bz2,0.11754369735717773,OPTIMUM FOUND,0.0423896,0.00077961,0.0415047,0.0435739,0.0207879,0.0105498,0.00961526,0.010167,0.00950178,0.0048769,3.9384e-05,0.0203566,0,0.0180622,0,0.00204018,0.000603225,0.0179995,0.0228516,0,0,0,0.00438872,0.00345514,43,7,105726,4036,86,0,0,100,174,136,159,134,25.7436,410.364,0.510384,45,58,70,21.5202,1.30593e+09,0.661906,16.6301,220,0,0,0,204,0,0,1452,0.00028821,3,10,0,1453,50,0,470,42,104,6,1962,0,34,51,72,0,724,939,102109,0,45408,9027,267438,987022,712,657,16997,67744,0,109628,1,0,98,57,371,0,139,0,130,55,137,0,0,0,0,13,77,-981,-981,-982.054,1,0,43,10644,2640,31,25,8,6,5,17,0,0,0,0,0,0,0,0,0,0,0,9,0
knapPI_15_20_1000_4_-1002.opb.bz2,0.13432955741882324,OPTIMUM FOUND,0.0523425,0.000612979,0.05163,0.054284,0.014777,0.0197312,0.0180418,0.0171218,0.0176794,0.00918538,8.5178e-05,0.0254722,0,0.0107195,0,0.00419505,0.00113631,0.0106792,0.0158627,0,0,0,0.00750501,0.00530542,88,14,84698,7947,193,1,0,80,248,238,255,220,20.2398,720.386,0.503597,104,51,166,24.3146,2.24324e+09,0.578733,16.7882,193,0,0,0,386,0,0,1138,0.00103515,3,4,15,1461,38,0,1128,14,202,9,4625,0,38,78,95,0,2704,2154,74476,0,73693,22556,730192,1156938,1408,3138,28012,106146,0,92647,1,0,221,103,609,0,186,0,352,88,482,0,0,0,1,9,70,-1014,-1014,-1015.29,1,0,89,18436,4045,67,63,17,4,3,44,0,0,0,0,0,0,0,0,0,0,0,19,0
knapPI_15_50_1000_5_-1047.opb.bz2,0.15440845489501953,OPTIMUM FOUND,0.0758652,0.0016502,0.0741196,0.127416,0.0584333,0.00472481,0.00728759,0.0109615,0.01903,0.00137811,0.000171762,0.0373094,0,0.055466,0,0.0015629,0.000396648,0.0553494,0.100061,0,0,0,0.0022384,0.002286,1,3,452966,2970,11,0,0,250,173,88,173,91,126.398,540.801,0.496996,0,38,14,103.096,4.77448e+09,0.913564,44.4231,297,0,0,0,105,0,0,2346,6.2382e-05,0,0,0,2438,37,0,33,0,6,1,570,0,1,5,4,0,368,0,452397,0,40882,4149,705257,2468635,2,0,28072,135233,0,455650,1,0,11,5,346,0,15,0,8,10,0,0,0,0,0,0,173,-1062,-1062,-1064.98,1,0,9,6250,1750,6,4,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
knapPI_15_20_1000_3_-1002.opb.bz2,0.05832529067993164,OPTIMUM FOUND,0.0272161,0.000378829,0.0267746,0.0187434,0.00549972,0.00642708,0.00684764,0.0148478,0.00368197,0.00185789,2.4931e-05,0.0189089,0,0.00370401,0,0.00117818,0.000330102,0.0036735,0.00733144,0,0,0,0.014823,0.00163883,13,13,34985,1907,61,0,0,60,70,55,71,75,32.607,783.547,0.447778,25,39,57,26.7025,2.21803e+09,0.674781,18.1818,14,0,0,0,132,0,0,697,0.00024176,0,2,11,872,27,0,207,0,59,9,1310,0,14,20,25,0,730,820,32661,0,22091,3834,158350,320000,150,476,9272,37200,0,36939,1,0,65,46,154,0,69,0,56,52,28,0,2,0,0,1,53,-1011,-1011,-1011.7,1,0,38,6529,1246,34,32,14,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
knapPI_15_200_1000_1_-1020.opb.bz2,0.17974472045898438,OPTIMUM FOUND,0.10277,0.00133982,0.101344,0.128664,0.079172,0.00793418,0.0137966,0.0142374,0.0139049,0.00172966,0,0.0615469,0,0.0771473,0,0.00169006,0.000490783,0.0770402,0.100055,0,0,0,0.00321874,0.00506028,1,4,448313,3599,29,0,0,200,157,79,157,85,101.835,461.34,0.495679,2,57,36,70.8211,4.19437e+09,0.83261,38.6842,273,0,0,0,121,0,0,2805,0.000131698,0,0,0,2880,52,0,94,0,14,5,1357,0,9,12,17,0,455,7,447593,0,68543,8630,860291,3431553,1,1,27233,115739,0,451668,1,0,29,6,314,0,44,0,21,29,0,0,0,0,0,0,156,-1020,-1020,-1021.6,1,0,37,20715,3845,17,12,1,5,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
knapPI_15_200_1000_5_-5067.opb.bz2,0.1890108585357666,OPTIMUM FOUND,0.104422,0.00581501,0.098506,0.155869,0.0206962,0.000696624,0.0136599,0.0771132,0.138067,0.000543769,0,0.0103006,0,0.00255801,0,0.000705761,0.000785825,0.0021207,0.000734208,0,0,0.02,0.00617117,0.0038827,1,1,553,3763,2,0,0,1000,310,0,310,314,507.593,1318.85,0.498603,0,0,3,558.667,89582922704,0.598929,46.6667,0,0,0,0,317,0,0,2002,8.32e-06,0,0,0,0,0,0,4,0,3,0,998,0,2,0,1,0,0,0,548,0,139772,3680,391672,39822,0,0,160710,803993,0,4318,1,0,2,3,620,0,2,0,1,1,0,0,0,0,0,0,310,-5130,-5130,-5131.01,1,0,2,4000,3000,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
knapPI_15_200_1000_2_-2031.opb.bz2,0.06764936447143555,OPTIMUM FOUND,0.0326815,0.00144178,0.0311817,0.0487542,0.00344158,0.00364611,0.00609788,0.024094,0.0405428,0.000465481,0,0.00335309,0,0.000638569,0,0.000256289,0.000288991,0.000539367,0.000387464,0,0,0,0.00172885,0.00157247,1,3,982,2112,3,0,0,400,228,0,228,234,203.736,675.468,0.497228,0,0,4,336.25,2.67298e+10,0.9705,45.75,0,0,0,0,238,0,0,802,3.788e-06,0,0,0,0,0,0,9,0,5,0,252,0,0,3,1,0,0,0,979,0,41229,3204,243694,46082,0,0,49207,244999,0,3097,1,0,3,5,456,0,6,0,0,3,0,0,0,0,0,0,228,-2043,-2043,-2045.2,1,0,5,5200,1200,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
knapPI_15_200_1000_3_-2916.opb.bz2,0.2218916416168213,OPTIMUM FOUND,0.145063,0.00303058,0.141944,0.133882,0.0224712,0.0514944,0.0580045,0.0679786,0.0717138,0.00516045,9.8174e-05,0.0274216,0,0.00136684,0,0.00416191,0.0015256,0.00116431,0.000500789,0,0,0.01,0.00801051,0.0140007,1,8,9290,5952,72,0,0,600,274,0,274,285,300.104,858.95,0.49369,2,11,71,161.44,1.89341e+10,0.786664,18.4286,830,0,0,0,356,0,0,1212,4.4676e-05,0,0,0,13,0,0,211,0,21,11,5715,0,48,29,70,0,0,17,7976,0,166907,45310,2769907,1603591,17,4,119157,520084,0,14485,1,0,72,10,548,0,36,0,71,41,0,0,0,0,0,0,273,-2946,-2946,-2946.65,1,0,38,58344,10634,15,7,4,8,8,4,0,0,0,0,0,0,0,0,0,0,0,45,18
