filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
knapPI_15_50_1000_4_-1011.opb.bz2,0.09042811393737793,OPTIMUM FOUND,0.0729641,0.0013716,0.0715033,0.116309,0.062341,0.00127499,0.00255304,0.00788733,0.0128338,0.000519467,0.000131721,0.0398706,0,0.0593011,0,0.000765215,0.000177614,0.0591906,0.100084,0,0,0,0.00122506,0.000799159,1,3,448798,3067,4,0,0,200,143,81,143,68,103.281,532.404,0.496394,0,46,4,67.88,1.13031e+09,0.93083,43.28,12,0,0,0,72,0,0,2795,3.4779e-05,0,0,0,2700,45,0,13,0,6,1,237,0,0,0,0,0,245,0,448540,0,48581,3491,607413,3331902,0,0,16701,86459,0,451857,1,0,4,5,286,0,7,0,1,5,0,0,0,0,0,0,143,-1026,-1026,-1027.3,1,0,9,5000,600,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
knapPI_15_200_1000_5_-5067.opb.bz2,0.10655927658081055,OPTIMUM FOUND,0.0788036,0.00169526,0.0770727,0.162369,0.00983003,0.000218452,0.0201579,0.0670242,0.138067,0.000766779,0.000224957,0.00549757,0,0.000681191,0,0.000855356,0.000269896,0.000566434,0.000736283,0,0,0,0.00224932,0.00652143,1,1,497,3833,4,0,0,1000,310,0,310,314,507.593,1318.85,0.498603,0,0,6,752.833,5.00911e+10,0.341118,54.1667,0,0,0,0,320,0,0,2002,2.388e-06,0,0,0,0,0,0,11,0,4,0,1131,0,0,0,0,0,0,0,487,0,146985,3855,394205,53409,0,0,167460,823227,0,4334,1,0,4,3,620,0,2,0,1,4,0,0,0,0,0,0,310,-5130,-5130,-5131.01,1,0,6,16000,5000,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3
knapPI_15_1000_1000_3_-15009.opb.bz2,0.3166675567626953,OPTIMUM FOUND,0.29504,0.0180638,0.27687,0.562879,0.0502238,0.0382559,0.115371,0.18839,0.433021,0.00822055,0,0.044821,0,0.00770458,0,0.00837736,0.00333171,0.00643385,0.00203076,0,0,0.01,0.0241988,0.0312447,1,3,1913,17562,8,0,0,3000,331,0,331,337,1496.13,3684.41,0.496316,0,0,12,2172.58,3.38463e+11,0.886731,55.9167,0,0,0,0,349,0,0,6004,7.1735e-05,0,0,0,0,0,0,32,0,5,0,9759,0,0,0,0,0,0,0,1904,0,522420,38336,3179842,1214743,0,0,584958,2727891,0,19483,1,0,8,5,662,0,3,0,1,20,0,0,0,0,0,0,331,-15177,-15177,-15179.7,1,0,8,66000,24000,5,2,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4
knapPI_15_20_1000_4_-1002.opb.bz2,0.04702639579772949,OPTIMUM FOUND,0.0292573,0.000719696,0.0284425,0.0272377,0.0163808,0.00715476,0.00551335,0.00490689,0.00504373,0.00294348,0.000128979,0.0133399,0,0.0134246,0,0.00169667,0.000482271,0.0133749,0.0159184,0,0,0,0.00307754,0.00105192,13,5,71240,2747,44,0,0,80,91,60,98,58,37.5,934.75,0.507448,10,39,42,33.9121,1.97696e+09,0.756348,20.5385,11,0,0,0,100,0,0,1110,0.000222644,0,0,1,1110,38,0,215,61,31,1,1658,0,0,0,0,0,248,161,69737,0,23163,3727,204912,556165,22,102,9297,41914,0,74020,1,0,44,19,196,0,115,0,36,29,35,0,0,0,0,1,70,-1014,-1014,-1015.29,1,0,18,4136,800,23,22,14,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
knapPI_15_10000_1000_1_-50622.opb.bz2,1.456233263015747,OPTIMUM FOUND,1.40537,0.031063,1.37426,2.14561,0.0943245,0.415686,0.620875,0.864247,1.46765,0.0908433,0,0.350385,0,0.0262595,0,0.055163,0.0290413,0.0250886,0.0066778,0,0,0.03,0.140993,0.22486,1,6,13475,80893,17,0,0,10000,332,0,332,341,5063.18,12346.7,0.49502,1,2,24,6317.93,516201519849,0.456837,51.7037,9483,0,0,0,365,0,0,20008,6.2479e-05,0,0,0,0,0,0,71,0,8,1,16477,0,0,0,0,0,0,2,3544,0,2076187,230443,14966347,10850255,9,7,2215525,9744819,0,84902,1,0,17,8,664,0,10,0,12,39,0,0,0,0,0,0,332,-50622,-50622,-50622.6,1,0,28,737308,171624,13,5,2,8,7,3,0,0,0,0,0,0,0,0,0,0,0,8,2
knapPI_15_1000_1000_4_-20175.opb.bz2,0.4815516471862793,OPTIMUM FOUND,0.451302,0.00664284,0.444625,0.763143,0.131603,0.0479847,0.164322,0.265037,0.57956,0.00724909,0.00243508,0.124989,0,0.00338599,0,0.0363426,0.00405254,0.0029557,0.00269282,0,0,0.01,0.0910749,0.0572981,1,3,5378,26298,9,0,0,4000,331,0,331,337,2002.47,4932.11,0.495901,0,3,11,2474.57,1.85587e+11,0.853666,47.2143,2771,0,0,0,348,0,0,8006,6.3641e-05,0,0,0,0,0,0,109,89,5,3,9305,0,0,0,0,0,0,0,2664,0,928220,72837,5891998,981736,0,0,732849,3520844,0,28914,1,0,9,5,662,0,2,0,4,99,0,0,0,0,0,0,331,-20448,-20448,-20449.9,1,0,11,124000,44000,7,2,3,5,4,1,0,0,0,0,0,0,0,0,0,0,0,3,1
knapPI_15_5000_1000_5_-125571.opb.bz2,2.863189697265625,OPTIMUM FOUND,2.82345,0.097514,2.72584,4.71454,0.139891,0.595152,0.916218,1.9908,3.68306,0.0904768,0.00924049,0.480761,0,0.0432673,0,0.0717653,0.0399816,0.0381118,0.0165764,0,0,0.04,0.191894,0.393457,1,3,47258,104615,19,0,0,25000,332,0,332,338,12647.8,30913,0.497075,7,1,18,7219,5.34505e+11,0.505517,57.1538,24652,0,0,0,356,0,0,50006,6.5655e-05,0,0,0,0,0,0,100,26,12,1,23009,0,0,0,0,0,4,0,22889,0,4623597,234770,24523365,8241123,0,11,4769363,22356642,0,127240,1,0,19,5,664,0,5,0,10,62,0,0,0,0,0,0,332,-127425,-127425,-127425,1,0,17,1200680,300680,10,5,1,5,4,3,0,0,0,0,0,0,0,0,0,0,0,6,17
knapPI_15_10000_1000_2_-101286.opb.bz2,8.001831769943237,OPTIMUM FOUND,7.93844,0.0645884,7.87381,9.34693,0.159039,5.39482,5.14675,2.31995,4.09712,1.05131,2.6e-08,3.26438,0,0.0398477,0,1.18972,0.262945,0.0376701,0.013262,0,0,0.06,0.482247,0.887463,2,4,180824,232738,285,2,0,20000,654,272,333,389,6862.99,16747.1,0.641922,3,6,293,9577.83,9.77622e+11,0.779091,58.2649,19828,0,0,0,682,0,0,40016,0.000431808,0,0,0,0,0,0,685,0,282,6,677788,0,0,0,0,0,0,0,137878,0,6332771,1742455,210981215,755464660,39,0,7693661,38225189,0,394019,1,0,285,6,987,0,7,0,318,112,5,0,0,0,0,1,332,-102099,-102099,-102099,1,0,116,6862448,660816,18,2,3,16,15,2,0,0,0,0,0,0,0,0,0,0,0,240,3
knapPI_15_200_1000_3_-2916.opb.bz2,0.09718775749206543,OPTIMUM FOUND,0.0795735,0.00371794,0.0757605,0.10855,0.00762456,0.0241339,0.0331549,0.044002,0.0717138,0.0036109,5.2211e-05,0.0188029,0,0.00165591,0,0.00366951,0.00106589,0.00138499,0.000502242,0,0,0,0.00893412,0.0116112,1,6,3796,4666,33,0,0,600,274,0,274,283,299.399,858.447,0.495433,2,5,35,170.214,1.08891e+10,0.520323,33.6429,790,0,0,0,318,0,0,1214,4.7521e-05,0,0,0,1,0,0,91,0,10,5,2218,0,0,0,0,0,0,26,3037,0,118653,17343,1237761,353650,3,4,107737,466601,0,7705,1,0,32,8,548,0,35,0,16,25,0,0,0,0,0,0,273,-2946,-2946,-2946.65,1,0,27,44344,8836,13,7,4,6,6,4,0,0,0,0,0,0,0,0,0,0,0,12,3
knapPI_15_50_1000_5_-1047.opb.bz2,0.09420609474182129,OPTIMUM FOUND,0.077501,0.00160277,0.0758031,0.12657,0.0619263,0.00309734,0.006149,0.0107795,0.01903,0.00054476,0,0.0396261,0,0.0584866,0,0.00112529,0.000188865,0.0583675,0.100096,0,0,0,0.00218921,0.00230216,1,5,454031,2896,7,0,0,250,173,88,173,93,127.096,539.681,0.494234,0,33,10,110.767,5.87998e+09,0.938239,46.7907,321,0,0,0,103,0,0,2338,3.5124e-05,0,0,0,2308,32,0,18,0,7,1,214,0,0,0,0,0,528,0,453299,0,40312,4361,738420,2576694,0,0,25652,129841,0,456613,1,0,7,7,346,0,8,0,1,8,0,0,0,0,0,0,173,-1062,-1062,-1064.98,1,0,13,9250,1750,5,3,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0
knapPI_15_20_1000_2_-948.opb.bz2,0.027002334594726562,OPTIMUM FOUND,0.0104019,0.000487651,0.00982814,0.00567719,0.00495303,0.00283127,0.00176334,0.00204384,0.00140961,0.00148708,6.7474e-05,0.00377745,0,0.00201199,0,0.000849658,0.000180899,0.00198087,0.00218393,0,0,0,0.00225877,0.000501262,5,6,10263,614,29,0,0,40,40,30,40,35,21.8286,523.762,0.456417,12,19,23,18.4259,9.55408e+08,0.593641,12.3704,28,0,0,0,58,0,0,336,0.000128087,0,0,2,328,16,0,161,49,30,2,334,0,0,0,0,0,208,119,9683,0,5650,1184,24871,61345,24,94,3104,12612,0,10878,1,0,29,20,84,0,98,0,22,20,12,0,0,0,3,2,36,-954,-954,-956.489,1,0,21,2262,380,13,10,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,6,0
knapPI_15_200_1000_1_-1020.opb.bz2,0.10144376754760742,OPTIMUM FOUND,0.08486,0.00136371,0.0834063,0.133797,0.0610616,0.0115686,0.0159971,0.0107761,0.0164792,0.00201684,9.345e-05,0.0463645,0,0.0589166,0,0.00250757,0.000368065,0.0588158,0.100078,0,0,0,0.00432408,0.00444168,2,7,450823,3724,35,0,0,200,197,117,158,95,90.2595,406.476,0.536871,2,55,40,83.7938,4.73207e+09,0.840033,38.5876,312,0,0,0,135,0,0,2821,0.000110861,0,0,0,2806,50,0,95,0,21,5,1842,0,0,0,0,0,886,0,449558,0,75105,11830,973729,3718701,20,10,28195,138123,0,454270,1,0,34,10,359,0,44,0,10,25,1,0,0,0,0,1,156,-1020,-1020,-1021.6,1,0,21,12200,3400,25,21,13,4,4,9,0,0,0,0,0,0,0,0,0,0,0,15,0
