filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
knapPI_15_50_1000_4_-1011.opb.bz2,0.1718738079071045,OPTIMUM FOUND,0.0882919,0.000424641,0.0878291,0.126997,0.0565969,0.0278751,0.0128803,0.00335696,0.0128338,0.000970825,8.0837e-05,0.0512241,0,0.0553238,0,0.024642,0.000161546,0.0552936,0.100093,0,0,0,0.00164448,0.00579358,1,7,450206,3987,33,0,0,200,143,81,143,72,104,529.743,0.491095,13,48,32,60,2.31858e+09,0.70674,29.5484,298,0,0,0,104,0,0,2813,4.4056e-05,0,0,0,2761,45,0,213,72,22,3,516,0,0,0,0,0,582,0,449355,0,56864,7525,820457,3551358,43,45,26688,106986,0,453928,1,0,33,9,286,0,60,0,26,48,0,0,0,0,0,0,143,-1026,-1026,-1027.3,1,0,31,18026,4426,20,13,7,7,6,9,0,0,0,0,0,0,0,0,0,0,0,77,2
knapPI_15_200_1000_5_-5067.opb.bz2,0.12740254402160645,OPTIMUM FOUND,0.108428,0.00578142,0.102543,0.168462,0.0252865,0.00070089,0.0262602,0.0765552,0.138067,0.00181893,0,0.013051,0,0.00255053,0,0.00243685,0.0012223,0.0021276,0.000727591,0,0,0,0.00762647,0.00914401,1,1,1058,4590,6,0,0,1000,310,0,310,314,507.593,1318.85,0.498603,0,1,8,680.444,7.40145e+10,0.629901,51.1111,282,0,0,0,322,0,0,2004,3.4294e-05,0,0,0,0,0,0,16,0,3,1,1920,0,0,0,0,0,0,0,820,0,151741,7653,669044,80359,0,0,171833,830355,0,5372,1,0,6,3,620,0,1,0,2,6,0,0,0,0,0,0,310,-5130,-5130,-5131.01,1,0,9,25000,7000,4,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,6
knapPI_15_10000_1000_2_-101286.opb.bz2,5.584129810333252,OPTIMUM FOUND,5.54072,0.0940352,5.44659,7.54206,0.144409,3.02202,3.37339,2.28016,4.06555,0.786104,0.105539,1.96992,0,0.0382484,0,0.375816,0.104102,0.0337064,0.0133131,0,0,0.1,0.31809,0.711793,2,4,112370,166246,834,6,0,20000,654,272,333,389,6862.99,16747.1,0.641922,62,5,782,1151.62,7.90704e+10,0.452421,58.5512,19827,0,0,0,1171,0,0,40024,0.0040232,0,0,0,615,0,0,3267,465,355,5,293269,0,0,0,0,0,101,0,79884,0,5908308,1204807,210053612,558912181,9407,3535,6095058,30841927,0,259623,1,0,834,6,987,0,100,0,1536,509,3,0,0,0,0,1,332,-102099,-102099,-102099,1,0,50,2921632,540816,19,7,4,12,11,4,0,0,0,0,0,0,0,0,0,0,0,1006,113
knapPI_15_1000_1000_3_-15009.opb.bz2,0.3190615177154541,OPTIMUM FOUND,0.297595,0.017984,0.279512,0.562311,0.0466249,0.0450802,0.111438,0.187807,0.433021,0.00706795,0,0.0471105,0,0.00760764,0,0.00647561,0.0036537,0.00640527,0.00204555,0,0,0,0.0221015,0.0273351,1,6,3029,26326,6,0,0,3000,331,0,331,340,1502.85,3690.51,0.494143,0,0,9,2498.22,2.93973e+11,0.857125,49.6667,0,0,0,0,349,0,0,6002,1.1899e-05,0,0,0,0,0,0,27,0,8,0,4372,0,0,0,0,0,0,0,3010,0,555749,73670,4608315,1446132,0,0,573488,2701889,0,29361,1,0,6,8,662,0,1,0,1,19,0,0,0,0,0,0,331,-15177,-15177,-15179.7,1,0,7,57000,21000,5,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,4
knapPI_15_20_1000_4_-1002.opb.bz2,0.07024145126342773,OPTIMUM FOUND,0.0530095,0.000698836,0.0522293,0.0515687,0.0164554,0.0191567,0.0168327,0.0166172,0.0166985,0.00974058,0.000172708,0.0241878,0,0.0129224,0,0.00524619,0.00148922,0.0128678,0.0158972,0,0,0,0.00695177,0.00445922,77,6,81535,7421,189,1,0,80,192,177,219,162,24.4014,942.79,0.52464,80,44,165,32.9031,2.49512e+09,0.587196,20.0381,100,0,0,0,327,0,0,1119,0.000405885,0,0,4,1177,38,0,947,109,153,5,4716,0,0,0,0,0,2424,1368,73194,0,53844,11746,597175,900668,1389,1456,29678,111869,0,89045,1,0,208,84,473,0,311,0,274,58,294,0,5,0,1,3,70,-1014,-1014,-1015.29,1,0,89,19041,3385,56,53,16,3,2,37,0,0,0,0,0,0,0,0,0,0,0,4,0
knapPI_15_1000_1000_4_-20175.opb.bz2,0.4250631332397461,OPTIMUM FOUND,0.402918,0.0203318,0.382501,0.743951,0.0591674,0.069254,0.143671,0.254079,0.57956,0.00945903,0,0.0734393,0,0.00849033,0,0.0171118,0.00574255,0.00719432,0.00268237,0,0,0.02,0.0293145,0.036576,1,4,8949,27541,9,0,0,4000,331,0,331,338,2005.46,4934.93,0.495175,0,2,11,3329.08,3.18321e+11,0.614515,50.7692,3785,0,0,0,349,0,0,8004,3.3932e-05,0,0,0,0,0,0,21,0,6,2,7369,0,0,0,0,0,0,0,5435,0,786433,80130,5837809,922101,8,2,728479,3571022,0,32714,1,0,9,6,662,0,2,0,4,6,0,0,0,0,0,0,331,-20448,-20448,-20449.9,1,0,9,100000,28000,6,4,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,9
knapPI_15_10000_1000_1_-50622.opb.bz2,1.0665342807769775,OPTIMUM FOUND,1.0374,0.0528057,0.984499,1.95663,0.181999,0.127654,0.441051,0.674846,1.46765,0.0313995,0.0044575,0.194398,0,0.0190215,0,0.0390109,0.0158375,0.0162049,0.00667235,0,0,0.02,0.0781035,0.19392,1,3,20648,53850,17,0,0,10000,332,0,332,338,5054.79,12337.3,0.496677,6,1,17,3849.42,3.34756e+11,0.378441,51.7917,9219,0,0,0,355,0,0,20004,2.758e-05,0,0,0,0,0,0,550,501,9,1,12115,0,0,0,0,0,4,0,11223,0,1940578,181392,13484581,3945127,1,93,1954634,8974680,0,65296,1,0,16,5,664,0,8,0,12,17,0,0,0,0,0,0,332,-50622,-50622,-50622.6,1,0,6,160000,150000,9,2,5,7,7,1,0,0,0,0,0,0,0,0,0,0,0,502,11
knapPI_15_2000_1000_5_-50838.opb.bz2,1.3998827934265137,OPTIMUM FOUND,1.37099,0.0511072,1.31978,2.12606,0.0790202,0.505484,0.592583,0.73528,1.4728,0.190205,0.157532,0.28531,0,0.0196094,0,0.0418024,0.0208944,0.0167512,0.00665491,0,0,0.02,0.094121,0.222407,1,7,27902,87124,25,0,0,10000,332,0,332,342,5088.16,12459.8,0.493445,2,4,28,2837.79,2.61791e+11,0.692888,44.7941,9200,0,0,0,370,0,0,20014,0.000124191,0,0,0,0,0,0,62,0,10,4,23235,0,0,0,0,0,1,14,16429,0,2663698,408716,26673318,8042535,11,27,1967215,9119678,0,105851,1,0,24,9,664,0,21,0,7,9,0,0,0,0,0,0,332,-51573,-51573,-51573.8,1,0,23,670000,170000,13,6,3,7,7,3,0,0,0,0,0,0,0,0,0,0,0,17,8
knapPI_15_200_1000_3_-2916.opb.bz2,0.08081507682800293,OPTIMUM FOUND,0.052845,0.001088,0.0517222,0.0948041,0.00192953,0.00701743,0.0198557,0.0427753,0.0717138,0.00164371,0.000848837,0.00498384,0,0.000429499,0,0.000815416,0.000222945,0.000358424,0.000506512,0,0,0,0.00229383,0.00705026,1,4,2945,2953,13,0,0,600,274,0,274,281,299.013,858.065,0.497074,4,3,11,246.222,2.23902e+10,0.572723,40.3333,785,0,0,0,292,0,0,1208,2.902e-05,0,0,0,30,0,0,445,406,9,3,683,0,0,0,0,0,0,0,2319,0,79772,10239,745377,196167,8,7,94059,447093,0,5126,1,0,12,6,548,0,420,0,4,15,0,0,0,0,0,0,273,-2946,-2946,-2946.65,1,0,11,18600,5400,8,5,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3
knapPI_15_50_1000_5_-1047.opb.bz2,0.09664797782897949,OPTIMUM FOUND,0.0795303,0.00160502,0.077838,0.131659,0.0594508,0.00720783,0.0111694,0.0111794,0.01903,0.00166705,6.2109e-05,0.0397891,0,0.0562135,0,0.00170853,0.000456945,0.0560956,0.100089,0,0,0,0.00290665,0.00383552,1,6,454201,3287,20,0,0,250,173,88,173,94,126.915,539.172,0.493195,9,36,17,91.3387,3.77209e+09,0.744233,43.7419,421,0,0,0,111,0,0,2341,5.5155e-05,0,0,0,2525,33,0,102,30,15,3,654,0,0,0,0,0,534,0,453395,0,52509,5965,862767,2577792,7,20,31221,141192,0,457088,1,0,20,8,346,0,60,0,12,27,0,0,0,0,0,0,173,-1062,-1062,-1064.98,1,0,16,9817,2939,11,6,3,5,5,4,0,0,0,0,0,0,0,0,0,0,0,3,0
