filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
knapPI_15_50_1000_4_-1011.opb.bz2,0.1695997714996338,OPTIMUM FOUND,0.0718789,0.000460695,0.0713789,0.122546,0.0519183,0.00319461,0.00842935,0.016266,0.0128338,0.000672356,6.8769e-05,0.0449881,0,0.0507122,0,0.000586805,0.000173322,0.0506811,0.100093,0,0,0,0.00137467,0.00317976,1,7,449842,3932,20,0,0,200,143,81,143,72,104,529.743,0.491095,4,49,20,70.0685,2.42525e+09,0.876132,33,298,0,0,0,92,0,0,2811,2.8929e-05,0,0,0,2750,45,0,61,0,11,4,382,0,7,4,5,0,575,6,449038,0,53944,6228,752466,3501871,0,0,21869,100290,0,453496,1,0,20,9,286,0,26,0,17,17,0,0,0,0,0,0,143,-1026,-1026,-1027.3,1,0,19,10652,2426,12,8,3,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1
knapPI_15_200_1000_5_-5067.opb.bz2,0.12510967254638672,OPTIMUM FOUND,0.106676,0.00575322,0.100827,0.157712,0.02144,0.000779387,0.0155096,0.0786077,0.138067,0.00119102,0,0.0101423,0,0.00254761,0,0.00112524,0.000988547,0.00211571,0.000727591,0,0,0.01,0.00589985,0.0038827,1,1,676,3820,3,0,0,1000,310,0,310,314,507.593,1318.85,0.498603,0,1,3,692,6.71872e+10,0.54333,45,178,0,0,0,317,0,0,2002,3.19e-06,0,0,0,0,0,0,8,0,3,1,1198,0,1,1,2,0,0,0,530,0,144153,3942,392923,49146,0,0,163802,812361,0,4321,1,0,3,3,620,0,0,0,1,3,0,0,0,0,0,0,310,-5130,-5130,-5131.01,1,0,2,4000,3000,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
knapPI_15_10000_1000_2_-101286.opb.bz2,2.941728353500366,OPTIMUM FOUND,2.90033,0.0924128,2.80781,4.04058,0.142419,0.656035,0.986211,2.00936,2.9478,0.107076,0,0.478791,0,0.0370036,0,0.123435,0.0576573,0.0324608,0.0133131,0,0,0.06,0.216944,0.291961,1,5,22950,141535,19,0,0,20000,332,0,332,340,10152.6,24775.6,0.495697,0,1,26,11718.9,1.82817e+12,0.700493,57.037,19505,0,0,0,366,0,0,40006,0.000177277,0,0,0,0,0,0,68,0,8,1,42869,0,25,6,31,0,0,0,2582,0,3714061,359016,28749586,11235504,14,3,4074017,19143829,0,144999,1,0,18,7,664,0,3,0,7,35,0,0,0,0,0,0,332,-102099,-102099,-102099,1,0,25,1440816,220816,12,9,2,3,3,6,0,0,0,0,0,0,0,0,0,0,0,4,19
knapPI_15_1000_1000_3_-15009.opb.bz2,0.38224196434020996,OPTIMUM FOUND,0.335819,0.00564032,0.330139,0.557184,0.0417319,0.0758855,0.106311,0.212522,0.433021,0.00342277,0,0.0692815,0,0.00262513,0,0.00365462,0.00290354,0.00227143,0.00204555,0,0,0,0.00948111,0.0273836,1,6,6022,26497,6,0,0,3000,331,0,331,340,1502.85,3690.51,0.494143,0,1,8,2387.22,2.98596e+11,0.982383,35.4444,1008,0,0,0,348,0,0,6004,9.837e-06,0,0,0,0,0,0,19,0,8,1,4522,0,4,1,5,0,0,0,5093,0,594963,84305,5218638,1750335,0,0,546507,2641502,0,31517,1,0,6,8,662,0,0,0,0,11,0,0,0,0,0,0,331,-15177,-15177,-15179.7,1,0,8,66000,21000,5,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,5
knapPI_15_20_1000_4_-1002.opb.bz2,0.0718991756439209,OPTIMUM FOUND,0.0547071,0.000729161,0.0538787,0.053568,0.0169479,0.0207049,0.0192553,0.0162259,0.0164236,0.00977165,0.000140299,0.0256227,0,0.0133689,0,0.00493819,0.00129616,0.0133192,0.0158972,0,0,0,0.00745693,0.00525559,62,6,82090,7392,174,1,0,80,232,203,196,206,23.8843,1066.4,0.497056,69,62,142,29.8864,2.77591e+09,0.599648,20.315,216,0,0,0,348,0,0,1129,0.00096812,43,0,4,1309,38,0,945,81,147,15,5032,0,60,66,103,3,1737,1481,74641,0,58504,16291,630923,914207,590,1190,29214,113427,0,89444,1,0,186,79,525,0,276,0,259,81,299,0,4,0,0,8,70,-1014,-1014,-1015.29,1,0,72,16592,4014,60,54,15,6,5,39,0,0,0,0,0,0,0,0,0,0,0,26,0
knapPI_15_10000_1000_1_-50622.opb.bz2,1.1543078422546387,OPTIMUM FOUND,1.12434,0.0513711,1.07288,1.67558,0.0958176,0.132408,0.160006,0.844655,1.46765,0.0144378,0.00196588,0.138851,0,0.0194755,0,0.00519457,0.0102189,0.0165868,0.00667235,0,0,0.01,0.0457863,0.0129244,1,3,9940,51060,2,0,0,10000,332,0,332,338,5054.79,12337.3,0.496677,0,0,2,9989.5,1.32333e+12,0.495102,60,0,0,0,0,340,0,0,20002,4.051e-06,0,0,0,0,0,0,6,0,5,0,0,0,1,1,2,0,0,0,9939,0,1831922,122186,8330359,1122633,0,0,1711665,8616307,0,61002,1,0,1,5,664,0,0,0,0,3,0,0,0,0,0,0,332,-50622,-50622,-50622.6,1,0,1,10000,10000,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
knapPI_15_1000_1000_4_-20175.opb.bz2,0.4477553367614746,OPTIMUM FOUND,0.425114,0.0227672,0.402254,0.75029,0.0581465,0.0856442,0.15001,0.258463,0.57956,0.0159058,0.00801277,0.081494,0,0.00955969,0,0.0155991,0.00675751,0.00803526,0.00268237,0,0,0.02,0.0333832,0.0416596,1,4,6674,27759,7,0,0,4000,331,0,331,338,2005.46,4934.93,0.495175,0,1,11,3336.58,5.17108e+11,0.729643,55,3280,0,0,0,349,0,0,8002,1.2644e-05,0,0,0,0,0,0,16,0,6,1,6297,0,4,1,3,0,0,0,3420,0,875294,82045,5993895,1027631,0,0,722444,3554383,0,31160,1,0,7,6,662,0,5,0,3,5,0,0,0,0,0,0,331,-20448,-20448,-20449.9,1,0,8,88000,32000,6,4,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,1,2
knapPI_15_5000_1000_5_-125571.opb.bz2,4.996316432952881,OPTIMUM FOUND,4.94739,0.108569,4.8387,7.35154,0.163415,2.32969,3.53843,2.34559,3.68306,0.455206,0,1.5082,0,0.0474313,0,0.42807,0.122879,0.041731,0.0165687,0,0,0.1,0.314704,0.767622,1,5,297100,156469,132,1,0,25000,332,0,332,340,12659.4,30947.4,0.49575,0,3,142,6598.32,6.9718e+11,0.8978,52.4,24652,0,0,0,482,0,0,50012,0.000185761,0,0,0,0,0,0,346,0,32,3,602427,0,18,36,40,1,0,148,237886,0,7379729,2550013,168937570,192004302,252,61,7010212,28110269,0,429049,1,0,131,7,664,0,52,0,181,31,0,0,0,0,0,0,332,-127425,-127425,-127425,1,0,44,3182408,583102,17,7,4,10,10,4,0,0,0,0,0,0,0,0,0,0,0,35,47
knapPI_15_2000_1000_5_-50838.opb.bz2,2.4620871543884277,OPTIMUM FOUND,2.40843,0.0450519,2.36334,2.95049,0.332446,1.03772,1.41699,0.993165,1.4728,0.372855,0.00291394,0.75347,0,0.016266,0,0.154329,0.0850497,0.0149303,0.00665491,0,0,0.01,0.169485,0.304495,1,7,50221,90116,177,1,0,10000,332,0,332,342,5088.29,12461.7,0.493471,11,6,176,2281.96,1.80891e+11,0.720928,52.6528,10076,0,0,0,518,0,0,20012,0.00175676,1,0,0,864,0,0,901,0,29,6,109172,0,403,46,420,0,31,433,34453,0,2467207,475986,43811713,122301761,770,206,3306683,12666925,0,130438,1,0,176,9,664,0,3,0,216,623,0,0,0,0,0,0,332,-51573,-51573,-51573.8,1,0,44,1291180,231180,17,9,2,8,8,8,0,0,0,0,0,0,0,0,0,0,0,37,22
knapPI_15_200_1000_3_-2916.opb.bz2,0.06828188896179199,OPTIMUM FOUND,0.0394733,0.00118299,0.0382517,0.0950487,0.0023993,0.00753079,0.0201007,0.0283216,0.0717138,0.0011472,0.000101842,0.00587936,0,0.000461715,0,0.00110166,0.000405006,0.00038465,0.000506512,0,0,0,0.00270968,0.00635515,1,4,3440,2982,14,0,0,600,274,0,274,281,299.009,858.031,0.497038,1,2,17,285.4,3.22531e+10,0.590354,34.55,785,0,0,0,298,0,0,1204,4.592e-06,0,0,0,0,0,0,63,24,10,2,1176,0,5,5,6,0,0,0,2865,0,78786,9887,729814,225628,4,12,94385,450781,0,5651,1,0,14,6,548,0,38,0,6,14,0,0,0,0,0,0,273,-2946,-2946,-2946.65,1,0,13,20016,4854,10,8,3,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5
