filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
knapPI_15_50_1000_4_-1011.opb.bz2,0.08039426803588867,OPTIMUM FOUND,0.0547328,0.000467097,0.0542258,0.123209,0.0310861,0.0192578,0.00909292,0.00388189,0.0128338,0.000705552,6.7466e-05,0.0243433,0,0.029741,0,0.0166637,0.000157079,0.0297106,0.100093,0,0,0,0.00146847,0.00368711,1,7,449894,3920,21,0,0,200,143,81,143,72,104.003,529.784,0.491124,5,49,21,68.5467,2.54219e+09,0.829294,33.3867,297,0,0,0,93,0,0,2811,3.0765e-05,0,0,0,2750,45,0,86,8,14,3,390,0,0,0,0,0,575,8,449086,0,54362,6594,755191,3526099,0,0,22356,100791,0,453538,1,0,21,9,286,0,23,0,14,26,0,0,0,0,0,0,143,-1026,-1026,-1027.3,1,0,16,9027,2827,11,6,1,5,4,5,0,0,0,0,0,0,0,0,0,0,0,22,1
knapPI_15_200_1000_5_-5067.opb.bz2,0.1227259635925293,OPTIMUM FOUND,0.104655,0.00571484,0.0988512,0.168982,0.0252958,0.000716939,0.0267802,0.0728384,0.138067,0.00210651,0,0.0130099,0,0.00254821,0,0.00247776,0.00135091,0.00212671,0.000727591,0,0,0,0.00704474,0.00914401,1,1,1069,4590,7,0,0,1000,310,0,310,314,507.593,1318.85,0.498603,0,1,9,690.4,6.66131e+10,0.673416,52,282,0,0,0,323,0,0,2004,2.6447e-05,0,0,0,0,0,0,18,0,3,1,1910,0,0,0,0,0,0,0,822,0,151860,7772,668762,94020,1,0,172464,833256,0,5384,1,0,7,3,620,0,1,0,2,7,0,0,0,0,0,0,310,-5130,-5130,-5131.01,1,0,9,25000,7000,4,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,6
knapPI_15_1000_1000_3_-15009.opb.bz2,0.3528327941894531,OPTIMUM FOUND,0.307043,0.00577274,0.301235,0.573588,0.0581129,0.0540841,0.122715,0.189038,0.433021,0.00566425,0,0.0631484,0,0.00277421,0,0.00522071,0.0105605,0.00239545,0.00204555,0,0,0,0.00893189,0.0273351,1,6,3025,26328,10,0,0,3000,331,0,331,340,1502.85,3690.51,0.494143,0,0,13,2550.77,1.98184e+11,0.882521,50.1538,0,0,0,0,353,0,0,6002,5.248e-06,0,0,0,0,0,0,39,0,8,0,5423,0,0,0,0,0,0,0,3003,0,556035,74040,4363020,1632032,0,0,596037,2767098,0,29363,1,0,10,8,662,0,4,0,5,23,0,0,0,0,0,0,331,-15177,-15177,-15179.7,1,0,7,57000,21000,5,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,2
knapPI_15_20_1000_4_-1002.opb.bz2,0.07232975959777832,OPTIMUM FOUND,0.0552418,0.000705717,0.0544351,0.0484029,0.0170463,0.0198339,0.0154508,0.0175549,0.0152692,0.0102338,0.000109412,0.025742,0,0.0136223,0,0.00529009,0.00135353,0.0135725,0.0158972,0,0,0.01,0.00741907,0.00431069,64,6,78886,6436,183,1,0,80,192,156,209,167,21.3741,644.748,0.505207,83,43,146,30.5882,2.16223e+09,0.542893,19.9338,146,0,0,0,313,0,0,1115,6.5322e-05,1,0,1,992,38,0,916,24,133,4,3992,0,0,0,0,0,1524,1267,73002,0,52893,14604,646870,875161,798,1656,27615,99934,0,85359,1,0,195,71,460,0,244,0,271,57,334,0,3,0,0,4,70,-1014,-1014,-1015.29,1,0,59,12492,3297,61,57,23,4,3,34,0,0,0,0,0,0,0,0,0,0,0,5,2
knapPI_15_10000_1000_1_-50622.opb.bz2,1.0823919773101807,OPTIMUM FOUND,1.05437,0.0491663,1.00511,1.95729,0.184086,0.128732,0.441713,0.692292,1.46765,0.0299902,0.00207366,0.199129,0,0.019226,0,0.0398778,0.0162708,0.0164502,0.00667235,0,0,0.02,0.0800004,0.19392,1,3,20653,53850,18,0,0,10000,332,0,332,338,5054.79,12337.3,0.496677,5,1,19,3750.08,3.21366e+11,0.363448,52.12,9219,0,0,0,357,0,0,20004,2.7132e-05,0,0,0,0,0,0,176,124,10,1,12165,0,0,0,0,0,4,0,11224,0,1940545,181375,13481148,4015466,0,93,1955507,8978336,0,65302,1,0,17,5,664,0,9,0,14,17,0,0,0,0,0,0,332,-50622,-50622,-50622.6,1,0,6,160000,150000,9,2,5,7,7,1,0,0,0,0,0,0,0,0,0,0,0,125,11
knapPI_15_1000_1000_4_-20175.opb.bz2,0.4977724552154541,OPTIMUM FOUND,0.449969,0.00719019,0.442739,0.743337,0.0577039,0.0949563,0.143056,0.290078,0.57956,0.0220194,0,0.0987228,0,0.00369104,0,0.0107431,0.00364624,0.00322798,0.00268237,0,0,0,0.0467514,0.0366407,1,4,8958,27541,9,0,0,4000,331,0,331,338,2005.46,4934.93,0.495175,0,2,11,3329.31,3.18321e+11,0.615017,50.7692,3794,0,0,0,349,0,0,8004,3.1588e-05,0,0,0,0,0,0,21,0,6,2,7398,0,0,0,0,0,0,0,5435,0,786446,80137,5837748,931529,8,2,728421,3567061,0,32714,1,0,9,6,662,0,2,0,4,6,0,0,0,0,0,0,331,-20448,-20448,-20449.9,1,0,10,112000,28000,6,4,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,9
knapPI_15_10000_1000_2_-101286.opb.bz2,8.205098152160645,OPTIMUM FOUND,8.14083,0.0682685,8.07252,9.90624,0.208904,5.34069,5.69777,2.52293,4.10536,1.75021,0.0297604,2.64726,0,0.0588825,0,1.05924,0.256827,0.0402852,0.0133131,0,0,0.03,0.444258,0.952359,2,4,270196,148056,783,5,0,20000,654,272,333,389,6862.99,16747.1,0.641922,12,3,788,2483.28,1.25215e+11,0.45309,59.4545,19828,0,0,0,1177,0,0,40016,0.000232091,0,0,0,0,0,0,2798,0,292,3,658883,0,0,0,0,0,5,0,215303,0,6272208,1793468,256520769,256403479,2002,1601,9411603,40128697,0,399207,1,0,783,6,987,0,3,0,1535,949,4,0,0,0,0,1,332,-102099,-102099,-102099,1,0,90,4573456,720816,24,8,9,16,15,5,0,0,0,0,0,0,0,0,0,0,0,264,43
knapPI_15_5000_1000_5_-125571.opb.bz2,6.545937538146973,OPTIMUM FOUND,6.50264,0.110285,6.39224,10.0224,0.178724,3.87101,4.97687,2.34251,4.90547,0.739012,0.0028301,2.59754,0,0.0496743,0,0.66364,0.190166,0.0439056,0.0165687,0,0,0.17,0.444562,1.03341,3,5,270809,185043,284,2,0,25000,746,388,334,368,7816.17,19715.7,0.679051,29,6,271,6006.73,3.69041e+11,0.46054,57.3366,24984,0,0,0,639,0,0,50022,0.0182921,0,0,1,4893,0,0,796,19,433,6,491819,0,0,0,0,0,7,1846,219530,0,9546843,2617093,285877909,512028500,2855,617,8042920,39032216,0,431152,1,0,283,9,1080,0,16,0,329,220,4,0,0,0,0,2,332,-127425,-127425,-127425,1,0,92,6052330,777604,27,12,6,15,15,7,0,0,0,0,0,0,0,0,0,0,0,206,21
knapPI_15_200_1000_3_-2916.opb.bz2,0.09517693519592285,OPTIMUM FOUND,0.0791547,0.00373307,0.0753345,0.105541,0.0064207,0.0229709,0.030593,0.045943,0.0717138,0.00638148,0.00220086,0.0143408,0,0.00166478,0,0.00371038,0.00107982,0.00139511,0.000506512,0,0,0.01,0.00764099,0.0101973,1,4,3223,3099,17,0,0,600,274,0,274,281,299.009,858.045,0.497067,1,4,19,321.833,3.75685e+10,0.722361,36.0417,787,0,0,0,300,0,0,1210,2.1288e-05,0,0,0,0,0,0,498,436,7,4,1710,0,0,0,0,0,0,0,2621,0,83035,11440,845631,283265,2,4,108801,482515,0,5552,1,0,16,6,548,0,467,0,9,9,0,0,0,0,0,0,273,-2946,-2946,-2946.65,1,0,17,29400,7800,8,3,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,11,2
knapPI_15_50_1000_5_-1047.opb.bz2,0.09615278244018555,OPTIMUM FOUND,0.0788699,0.00161332,0.0771586,0.134444,0.0577983,0.00851909,0.0139462,0.0108412,0.01903,0.0020332,7.2663e-05,0.0395058,0,0.0546758,0,0.00192057,0.000409908,0.0545524,0.100089,0,0,0,0.00343122,0.00486839,1,6,454252,3342,20,0,0,250,173,88,173,94,127.045,539.172,0.492958,1,36,27,106.516,5.37695e+09,0.807614,43.7969,423,0,0,0,121,0,0,2341,5.3551e-05,0,0,0,2525,33,0,82,0,9,3,621,0,0,0,0,0,533,0,453433,0,54192,6073,859140,2584791,0,0,34837,150681,0,457192,1,0,20,8,346,0,34,0,13,29,0,0,0,0,0,0,173,-1062,-1062,-1064.98,1,0,22,15436,3718,13,8,2,5,5,6,0,0,0,0,0,0,0,0,0,0,0,6,0
