filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
knapPI_15_50_1000_4_-1011.opb.bz2,0.09868741035461426,OPTIMUM FOUND,0.0816912,0.0013672,0.0802364,0.124587,0.0652719,0.0066998,0.0104707,0.00826462,0.0128338,0.00146773,0.000152258,0.0453718,0,0.062976,0,0.00130138,0.000346298,0.0628763,0.100093,0,0,0,0.00296803,0.00498903,1,7,449842,3941,19,0,0,200,143,81,143,72,104,529.743,0.491095,6,47,23,67.7632,2.4682e+09,0.815461,32.4342,298,0,0,0,95,0,0,2813,5.365e-05,0,0,0,2750,45,0,109,34,18,2,382,0,0,0,0,0,575,0,449051,0,54108,6348,754245,3512834,1,3,23585,101470,0,453504,1,0,19,9,286,0,32,0,11,30,0,0,0,0,0,0,143,-1026,-1026,-1027.3,1,0,21,12026,3826,14,7,2,7,6,6,0,0,0,0,0,0,0,0,0,0,0,35,1
knapPI_15_200_1000_5_-5067.opb.bz2,0.12276554107666016,OPTIMUM FOUND,0.079587,0.00166745,0.0778868,0.181075,0.0134269,0.000213853,0.0388733,0.064246,0.138067,0.00166273,0,0.00812423,0,0.000681074,0,0.00191367,0.000654321,0.000565151,0.000727591,0,0,0,0.00354219,0.017044,1,1,2125,4719,14,0,0,1000,310,0,310,314,507.593,1318.85,0.498603,1,2,17,432.3,35865607732,0.52796,44.3,1152,0,0,0,331,0,0,2006,2.0571e-05,0,0,0,0,0,0,47,0,4,2,2575,0,0,0,0,0,0,0,1176,0,157560,9295,912262,164430,3,1,182942,846979,0,5706,1,0,14,3,620,0,1,0,3,27,0,0,0,0,0,0,310,-5130,-5130,-5131.01,1,0,20,58000,13000,7,1,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,10,6
knapPI_15_10000_1000_2_-101286.opb.bz2,3.725332498550415,OPTIMUM FOUND,3.68565,0.0939015,3.59166,5.14957,0.53688,1.24301,2.10232,1.81177,2.9478,0.327441,0.0167423,1.16334,0,0.0349839,0,0.249492,0.0853514,0.0303803,0.0133131,0,0,0.08,0.260763,0.5285,1,4,76173,159253,231,2,0,20000,332,0,332,339,10137.9,24761.8,0.49642,68,13,162,2659.07,2.01581e+11,0.405854,43.6255,19725,0,0,0,501,0,0,40030,0.00592824,1,0,0,1021,0,0,628,14,83,13,196853,0,0,0,0,0,59,214,50131,0,5403363,868444,91919125,220450367,7404,751,5046697,21462116,0,215932,1,0,230,6,664,0,60,0,351,49,0,0,0,0,0,0,332,-102099,-102099,-102099,1,0,43,2540000,400000,15,7,4,8,8,4,0,0,0,0,0,0,0,0,0,0,0,97,71
knapPI_15_1000_1000_3_-15009.opb.bz2,0.5594797134399414,OPTIMUM FOUND,0.509355,0.00557256,0.503739,0.562352,0.0716985,0.108124,0.111479,0.323916,0.433021,0.00444702,0,0.109026,0,0.0270605,0,0.00374884,0.00234726,0.0266976,0.00204555,0,0,0,0.032912,0.0273351,1,6,3029,26326,6,0,0,3000,331,0,331,340,1502.85,3690.51,0.494143,1,0,8,2490.11,2.93155e+11,0.813167,49.6667,0,0,0,0,348,0,0,6002,5.091e-06,0,0,0,0,0,0,27,0,8,0,4445,0,0,0,0,0,0,0,3010,0,555739,73649,4611080,1420614,0,0,573488,2701816,0,29361,1,0,6,8,662,0,1,0,1,19,0,0,0,0,0,0,331,-15177,-15177,-15179.7,1,0,7,57000,21000,5,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,4
knapPI_15_20_1000_4_-1002.opb.bz2,0.07300448417663574,OPTIMUM FOUND,0.0560837,0.000717332,0.0552749,0.0517038,0.0172699,0.0206369,0.0169848,0.0173681,0.0166817,0.0103901,0.000174162,0.0255137,0,0.0135328,0,0.00568659,0.0015705,0.0134838,0.0158972,0,0,0,0.0075465,0.00455448,77,6,81549,7422,190,1,0,80,192,177,219,162,24.4014,942.79,0.52464,80,44,167,32.8385,2.50167e+09,0.586694,20.0584,100,0,0,0,329,0,0,1119,0.000422256,0,0,4,1175,38,0,947,105,152,5,4721,0,0,0,0,0,2422,1366,73210,0,54077,11822,600003,904302,1391,1446,29766,111905,0,89061,1,0,209,84,473,0,307,0,275,60,295,0,5,0,1,3,70,-1014,-1014,-1015.29,1,0,80,17610,3465,57,54,16,3,2,38,0,0,0,0,0,0,0,0,0,0,0,4,0
knapPI_15_10000_1000_1_-50622.opb.bz2,1.0846757888793945,OPTIMUM FOUND,1.05628,0.0495286,1.00665,1.95746,0.186726,0.128856,0.441884,0.691066,1.46765,0.0335379,0.00645498,0.196624,0,0.0193747,0,0.0391004,0.0162096,0.0164956,0.00667235,0,0,0.02,0.0806366,0.19392,1,3,20648,53850,17,0,0,10000,332,0,332,338,5054.79,12337.3,0.496677,6,1,17,3846.42,3.34756e+11,0.378438,51.7917,9219,0,0,0,355,0,0,20004,2.646e-05,0,0,0,0,0,0,550,501,9,1,12080,0,0,0,0,0,4,0,11223,0,1940545,181390,13490087,3944171,1,100,1954517,8979424,0,65296,1,0,16,5,664,0,8,0,12,17,0,0,0,0,0,0,332,-50622,-50622,-50622.6,1,0,6,160000,150000,9,2,5,7,7,1,0,0,0,0,0,0,0,0,0,0,0,502,11
knapPI_15_1000_1000_4_-20175.opb.bz2,0.5284757614135742,OPTIMUM FOUND,0.498619,0.00775513,0.490817,0.743951,0.078456,0.0958662,0.143671,0.316495,0.57956,0.00603567,0,0.115254,0,0.00381414,0,0.0430744,0.00379081,0.00331722,0.00268237,0,0,0,0.0144311,0.036576,1,4,8949,27541,9,0,0,4000,331,0,331,338,2005.46,4934.93,0.495175,0,2,11,3329.08,3.18321e+11,0.614515,50.7692,3785,0,0,0,349,0,0,8004,2.4207e-05,0,0,0,0,0,0,21,0,6,2,7369,0,0,0,0,0,0,0,5435,0,786433,80130,5837809,922101,8,2,728479,3571022,0,32714,1,0,9,6,662,0,2,0,4,6,0,0,0,0,0,0,331,-20448,-20448,-20449.9,1,0,9,100000,28000,6,4,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,9
knapPI_15_5000_1000_5_-125571.opb.bz2,5.6449573040008545,OPTIMUM FOUND,5.59998,0.0930369,5.50686,6.8421,0.540907,2.83248,3.03077,2.13346,3.68306,1.32651,0.851523,1.53908,0,0.0474885,0,0.42738,0.128561,0.0422059,0.0165687,0,0,0.11,0.363492,0.693518,1,5,166662,168524,258,2,0,25000,332,0,332,340,12644.4,30947.4,0.495777,46,3,223,3915.6,2.55206e+11,0.324267,58.2574,24652,0,0,0,563,0,0,50018,0.000304046,0,0,0,0,0,0,941,245,56,3,272476,0,0,0,0,0,43,0,126926,0,8029367,1846993,144259836,198492790,10096,1825,6401424,27540243,0,310792,1,0,257,7,664,0,115,0,503,74,0,0,0,0,0,0,332,-127425,-127425,-127425,1,0,46,3130108,525744,22,13,6,9,9,6,0,0,0,0,0,0,0,0,0,0,0,164,85
knapPI_15_10000_1000_5_-249006.opb.bz2,10.87393832206726,OPTIMUM FOUND,10.7546,0.220819,10.5337,11.2476,2.73551,1.04726,3.68039,6.75094,7.34594,0.538766,0.00123142,2.24211,0,0.166188,0,0.674937,0.172715,0.158717,0.033157,0,0,0.07,0.723542,1.24559,1,2,24694,312160,20,0,0,50000,332,0,332,337,25262.9,61724.4,0.497139,2,1,26,35467.6,2.70841e+12,0.642299,57.931,2404,0,0,0,363,0,0,100004,4.9061e-05,0,0,0,0,0,0,83,24,7,1,392778,0,0,0,0,0,2,0,22185,0,12216676,1048767,86434050,33139001,12,126,11086320,49253641,0,334470,1,0,20,4,664,0,5,0,10,24,0,0,0,0,0,0,332,-252642,-252642,-252642,1,0,29,4250000,950000,10,1,1,9,8,1,0,0,0,0,0,0,0,0,0,0,0,27,17
knapPI_15_2000_1000_5_-50838.opb.bz2,1.8773088455200195,OPTIMUM FOUND,1.82693,0.0436223,1.78326,2.12606,0.0553984,0.73717,0.592581,0.990691,1.4728,0.228231,0.190035,0.465701,0,0.0198392,0,0.0788291,0.0330226,0.0185973,0.00665491,0,0,0.01,0.12286,0.222407,1,7,27903,87124,25,0,0,10000,332,0,332,342,5088.16,12459.8,0.493445,2,4,28,2841.32,2.61789e+11,0.671093,44.7941,9200,0,0,0,370,0,0,20014,0.000104052,0,0,0,0,0,0,62,0,9,4,23115,0,0,0,0,0,1,14,16429,0,2664390,409367,26685906,8030671,11,27,1966810,9119393,0,105852,1,0,24,9,664,0,21,0,7,9,0,0,0,0,0,0,332,-51573,-51573,-51573.8,1,0,23,670000,170000,13,6,3,7,7,3,0,0,0,0,0,0,0,0,0,0,0,17,8
