filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
normalized-cc.opb.xz,0.2967822551727295,OPTIMUM FOUND,0.245798,0.000821529,0.244948,0.127134,0.1275,0.0489984,0.0900846,0.0684492,0.0332673,0.0141556,2.2965e-05,0.191036,0,0.00056627,0,0.0364627,0.0010325,0.00034017,0.000481701,0,0,0,0.110571,0.0129597,27,13,38871,4572,1039,6,0,133,42,346,39,97,18.1141,252.407,0.432335,283,2,804,35.0101,1.78233e+09,0.44376,13.2663,68,0,13,0,901,0,0,529,0.000164837,0,10,5,175,0,0,5467,76,269,2,37767,0,0,0,0,0,12702,1119,19375,0,296540,30578,2637104,461165,7615,3158,109347,308914,0,44415,210,106,1049,72,94,0,2585,70,1882,64,282,0,0,0,53,1,0,1567,1567,1560.5,197,0,670,637685,7401,35,3,1,32,32,3,0,0,0,0,0,0,0,0,0,0,0,531,0
normalized-10_20.opb.xz,0.14459776878356934,OPTIMUM FOUND,0.128366,0.00256941,0.125708,0.143584,0.0382648,0.0341338,0.070388,0.0533089,0.0664737,0.024959,3.8435e-05,0.0666398,0,0.00418007,0,0.0250344,0.00327461,0.0022695,0.00176505,0,0,0,0.0212214,0.0145028,0,20,30558,3427,514,4,0,210,0,1120,20,40,9.32203,3389.15,0.514105,31,41,512,61.6627,1.19942e+09,0.609895,13.1318,177,0,0,0,552,0,0,860,0.00164592,42,0,0,809,40,0,4383,63,44,1,53656,0,0,0,0,0,15629,7612,6236,0,315283,128738,3835375,1107905,707,415,99100,283409,0,34326,240,900,517,40,0,0,3449,0,479,178,0,0,0,0,0,0,0,8034,8034,8034,240,0,441,422100,9502,28,4,3,24,24,3,0,0,0,0,0,0,0,0,0,0,0,248,29
normalized-8_16.opb.xz,0.11113333702087402,OPTIMUM FOUND,0.0827308,0.000552587,0.0821473,0.0730139,0.00378923,0.0379504,0.0332833,0.0404076,0.0358086,0.00715833,1.1436e-05,0.0420994,0,0.000682333,0,0.0308431,0.00079159,0.00040699,0.000978195,0,0,0.01,0.00555101,0.00765126,2,19,17461,2336,507,4,0,136,2,593,18,43,10.8272,3193.6,0.522188,52,33,480,44.9009,1.86102e+09,0.51046,12.1858,82,0,0,0,523,0,0,565,0.000436289,2,0,0,376,32,0,3013,115,65,1,23218,0,0,0,0,0,6945,4167,4995,0,151443,33723,1722809,385922,1287,600,62066,172353,0,20226,160,448,510,42,4,0,2047,0,656,83,26,0,0,0,0,0,0,5852,5852,5763,160,0,345,227225,4994,25,5,4,20,20,3,0,0,0,0,0,0,0,0,0,0,0,171,30
normalized-knapPI_14_50_1000_5_-3237.opb.xz,0.1757044792175293,OPTIMUM FOUND,0.141613,0.000529353,0.141051,0.200571,0.0387925,0.0636344,0.0505255,0.0386245,0.0444745,0.0289914,2.0795e-05,0.0652159,0,0.034516,0,0.00222947,0.000375855,0.0344865,0.100061,0,0,0,0.00542285,0.0203375,80,8,471943,6220,179,1,0,250,426,312,352,291,64.0398,920.898,0.513782,115,48,174,34.3798,2.68892e+09,0.600948,17.1365,675,0,0,0,465,0,0,2381,0.000302175,14,1,1,2668,37,0,918,13,106,11,5334,0,0,0,0,0,2638,2929,460441,0,123953,48920,2538735,3912841,1779,915,73652,326146,0,477669,1,0,225,96,858,0,291,0,295,80,140,0,0,0,0,20,213,-5737,-5737,-5796.57,1,0,101,49366,15595,77,68,17,9,9,51,0,0,0,0,0,0,0,0,0,0,0,107,5
normalized-libpango-perl.cudf.trendy.opb.xz,12.043992519378662,OPTIMUM FOUND,11.3229,0.342576,10.9802,10.9963,6.54885,1.68926,1.2564,2.7421,1.61526,0.115378,0.012938,3.35727,0,5.70868,0,0.336663,0.426151,0.129806,0.356163,0,0,0.13,0.430438,3.51591,270,128,6858220,3571861,1874,12,0,21101,74,4465485,1644,604,2.57815,1.30609e+09,0.496926,1974,34,49,64.158,2.00437e+08,0.503267,3.58483,16645,0,140781,0,225,428,0,826,0.0116177,195,258,51,7936,1,115,7028,120,5,0,77925,0,0,0,0,0,5768311,580878,337406,0,9505163,1849628,33803227,569243693,1457,354,253525,25620258,0,10415330,99894,4367060,1915,599,180,0,6326,4,503,75,52,0,0,24,44,200,0,3256361088356,3256361088356,nan,96781,0,2000,652848000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normalized-factor-size=9-P=41-Q=347.opb.xz,0.06612777709960938,OPTIMUM FOUND,0.0343965,0.000702776,0.0336623,0.0229678,0.00278232,0.0303632,0.0182876,0.000516817,0.000907059,0.0244093,6.7251e-05,0.00492602,0,0.0010222,0,0.00221657,0.000394523,0.000968529,0.00261465,0,0,0,0.00437845,0.002308,7,1,13775,912,188,1,0,99,5,250,3,6,2.98069,1010.15,0.452899,41,1,159,32.2736,3.02297e+07,0.18765,8.62687,89,0,12,0,165,0,0,650,0.000136847,4,13,0,596,0,0,3733,420,150,1,3849,0,0,0,0,0,12318,17,1022,0,44308,11802,123308,133595,3926,4730,30238,66357,0,14789,245,0,193,5,9,0,3486,0,231,1,3,0,0,0,0,3,0,41,41,27.8415,233,0,335,236175,805,9,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12
normalized-simp-nonunif-100_100.12.opb.xz,8.546292066574097,OPTIMUM FOUND,8.20177,4.23541,3.96632,6.7899,2.26306,0.963092,0.598231,0.740173,0.713157,0.135071,0.00442379,1.12757,0.131872,1.88951,0,0.0614233,0.256456,0.455686,0.637107,0,0,0.2,1.07758,3.72845,35,121,4752746,222101,3128,14,1,25484,34,795203,4108,7,2.1323,1.02761,0.494494,2757,954,18,80.8429,24.8879,0.277708,25.6393,12262,10,21235,2369,25,0,0,6759,0.0103153,15,40,103,39825,133,15,95532,21561,0,3,1377,0,0,0,0,0,4516424,201585,1787,0,5203980,3228,4600712,6176776,3696,4130,1172161,9840737,0,4965728,164212,634712,3452,312,72,0,88783,133,5683,73,578,0,46,0,236,2,0,41,41,nan,141853,0,2000,692312000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normalized-mult_diagcomm_opt_less_teq_nbits_15.opb.xz,859.5483703613281,OPTIMUM FOUND,859.512,0.0215186,859.491,603.486,29.8826,381.938,304.137,447.67,299.223,81.2149,0.195903,755.813,1.50224,4.47977,0.0413531,21.556,1.43908,4.47544,4.53391,0,0,39.12,60.1979,60.3521,1,1,32708189,373747,148920,391,22,1410,0,2716,0,1298,3.19208,501563,0.471911,153678,16,126872,120.63,4.58569e+08,0.212809,17.2579,6,0,0,21477,128170,0,0,181526,0.132369,0,318,542,3485,0,0,8405896,1235154,10653,9,8433092,0,0,0,0,0,14449293,16582,18074403,0,4245943475,3236161209,15927577274,40971198655,56090612,103333489,111665057,306221015,0,33230851,3947,60,160345,6,1,113733,5582334,0,1701579,31448,1,7340,0,306252,544593,0,0,0,0,nan,2820,0,1052873,9105715196,8790072,4570,548,436,3748,4141,560,329,162,15,0,0,58,94,0,0,0,0,214451,17898
normalized-aries-da_network_20_2__17_12__128.opb.xz,3.65684175491333,OPTIMUM FOUND,3.637,0.041102,3.5958,8.24638,0.1189,1.53363,3.39691,1.94327,4.70656,0.90062,0.0510291,1.96393,0,0.0489093,0,0.66932,0.106427,0.029663,0.100056,0,0,0.69,0.955636,0.819725,0,9,2049804,272657,1606,10,0,5138,0,2,42,54,1171.96,3.91995e+07,0.792575,596,26,1247,1008.91,8.31626e+10,0.443501,34.9765,4367,0,0,0,1301,0,0,2539,0.044074,1417,0,0,5012,17,0,8383,519,237,5,3362079,0,0,0,0,0,7051,442073,1523088,0,1119927,232508,275662046,142450451,13081,121468,7911352,21186017,0,2319830,80,0,1735,18,0,0,4589,0,2504,258,0,0,2,0,0,0,0,46877,46877,18763,80,0,517,15834292,570644,829,773,722,56,56,61,0,0,0,0,0,0,0,0,0,0,0,715,315
normalized-minisat50_6_9_2_mh.opb.xz,684.4702484607697,SATISFIABLE,683.862,2.73104,681.131,882.188,24.6784,313.429,425.177,343.024,415.846,154.881,2.83971,356.577,25.8375,36.2753,2.96331,110.73,6.49794,31.6411,47.6883,0,0,25.29,49.3815,110.787,0,139,266970138,259195,10696,45,2,250200,0,3617245,129,123345,11.462,4.14574e+06,0.495296,4336,1025,13355,12312.3,2.17697e+10,0.611251,25.2571,8506,7400,1312,20480,136701,0,0,3302,1.86636,26,132,570,220896,44,554,270511,37646,894,2,255663028,0,0,0,0,0,118202573,2063054,145765687,0,433107505,270913027,70531596982,43865903809,59309390,69913333,388387939,1438463906,0,266991407,615153,3117888,17513,278,0,499,237527,35,29089,3658,0,0,1,8,182,0,0,28376155,-50,nan,610308,0,10606,20567774520,15124,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
