filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
normalized-fx57.opb.xz,2.5059194564819336,OPTIMUM FOUND,2.33542,0.0249852,2.31039,2.57757,0.473372,1.77476,2.17949,0.0622595,0.0517669,0.462795,4.7651e-05,0.850683,0.0518429,0.57488,0.0,0.488338,0.0733028,0.163092,0.252642,0.0,0.0,0.08,0.110005,0.264404,0.0,1.0,1190766.0,25391.0,2015.0,13.0,1.0,2850.0,0.0,268995.0,58.0,384.0,2.09866,1.91657,0.500626,121.0,209.0,1918.0,523.436,3101380000.0,0.371609,44.4422,6.0,0.0,2845.0,9.0,2302.0,0.0,0.0,6791.0,0.000304596,0.0,0.0,0.0,7581.0,209.0,0.0,17282.0,126.0,300.0,0.0,215222.0,0.0,2643.0,353.0,642.0,1.0,4788.0,918370.0,259746.0,0.0,3093375.0,753681.0,76168947.0,31962586.0,949.0,875.0,2306146.0,8139770.0,0.0,1218166.0,3343.0,266094.0,2024.0,0.0,0.0,0.0,12262.0,0.0,4872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,498.0,0.0,1528.0,42136128.0,29121.0,26.0,11.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0
normalized-simp-unif-100_100.00.opb.xz,8.427428007125854,OPTIMUM FOUND,8.39056,0.851197,7.53926,9.15565,1.00419,3.08847,4.12082,3.4466,3.61939,1.81497,0.11754,3.56366,0.39411,0.574153,0.108923,1.42104,0.387222,0.476551,0.819972,0.0,0.0,0.08,0.204512,0.978567,27.0,53.0,10322730.0,158312.0,42027.0,126.0,7.0,8601.0,42.0,126367.0,2015.0,25.0,2.23028,1.04256,0.49518,52866.0,1597.0,4763.0,57.2937,98.7604,0.0897693,15.2166,5665.0,4.0,13414.0,15917.0,4788.0,0.0,0.0,14515.0,0.0104387,199.0,68.0,1425.0,63325.0,686.0,48.0,1180056.0,561500.0,476.0,14.0,407948.0,0.0,485.0,145.0,272.0,24.0,9154247.0,902259.0,198438.0,0.0,38843145.0,3261345.0,192957023.0,34340258.0,1671773.0,3065647.0,19820635.0,16009899.0,0.0,10517455.0,49086.0,79033.0,53735.0,169.0,115.0,3156.0,443720.0,23966.0,539364.0,968.0,47725.0,94.0,44199.0,11.0,80009.0,4.0,0.0,34.0,34.0,,38423.0,0.0,2000.0,181704000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Init-x1-i3_pp_87_merged.opb.xz,23.0630784034729,OPTIMUM FOUND,22.7265,0.909915,21.8165,27.8443,4.88882,6.27269,6.62838,10.655,10.8638,4.42957,0.00241706,7.06413,0.677836,3.95448,0.227926,3.77341,0.509822,1.20904,1.69938,0.0,0.0,0.84,3.85872,9.90133,6.0,1.0,53297294.0,403562.0,5585.0,28.0,1.0,99544.0,15.0,135023.0,15534.0,12.0,10.001,4.98581,0.500022,1109.0,1266.0,4034.0,451.969,6976.63,0.68643,19.6123,6377.0,0.0,7132.0,9108.0,4046.0,0.0,0.0,486.0,0.0793857,888.0,32.0,121.0,280007.0,9.0,226.0,70757.0,248.0,172.0,240.0,3635712.0,0.0,156.0,36.0,24.0,0.0,2071531.0,48713756.0,2011484.0,0.0,8445364.0,397068.0,173864586.0,181400345.0,28889.0,1916.0,8103820.0,18461012.0,0.0,53700097.0,120236.0,30287.0,6153.0,7.0,39.0,0.0,54295.0,3.0,16405.0,0.0,42.0,0.0,3.0,0.0,9.0,1.0,1.0,346.0,346.0,,111729.0,0.0,2000.0,1838516000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-KE_340_006.opb.xz,201.4239685535431,OPTIMUM FOUND,201.325,0.0313383,201.293,206.761,1.3462,106.847,105.787,93.0999,99.5367,37.9458,0.320323,130.899,3.93151,28.9499,0.328969,26.5565,1.75665,28.9406,20.6496,0.0,0.0,3.59,9.1457,20.4581,436.0,15.0,62303253.0,431789.0,30541.0,109.0,6.0,9483.0,3720.0,3171.0,5124.0,3889.0,423.693,25001.6,0.513066,35492.0,2130.0,34850.0,522.778,35315400000.0,0.334118,18.4415,11701.0,1.0,24875.0,27155.0,38739.0,0.0,0.0,25523.0,0.226407,190.0,104.0,4415.0,105086.0,366.0,5753.0,1365412.0,594816.0,9841.0,311.0,43223931.0,0.0,40722.0,14774.0,38569.0,5607.0,1493782.0,21041547.0,36683391.0,0.0,246923478.0,82845841.0,15691337024.0,3703088311.0,26934059.0,5415705.0,131789208.0,396706868.0,0.0,62755213.0,1209.0,0.0,57766.0,453.0,10521.0,9166.0,84469.0,0.0,227032.0,73.0,1013625.0,8.0,18384.0,6.0,6133.0,91.0,248.0,-10524.0,-10524.0,-10524.0,257.0,0.0,52080.0,1878068052.0,8036760.0,427.0,149.0,91.0,278.0,402.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15644.0,38.0
normalized-minisat15_5_3_4_mh.opb.xz,20.075921058654785,OPTIMUM FOUND,19.9709,0.0966918,19.8741,37.1234,0.462281,9.46321,18.2829,9.94857,18.3557,2.3225,0.00377938,14.7452,0.302848,1.27593,0.0227151,2.18264,0.0635575,1.24297,2.12995,0.0,0.0,1.54,1.78866,3.83046,1.0,68.0,6084644.0,33058.0,10345.0,44.0,2.0,6810.0,1.0,39378.0,65.0,3750.0,12.2223,4206650.0,0.492399,5864.0,588.0,14412.0,362.749,6207380000.0,0.684566,8.03806,4536.0,645.0,22100.0,9380.0,18162.0,0.0,0.0,4164.0,0.0573099,2079.0,59.0,1336.0,90950.0,183.0,857.0,116817.0,16633.0,1100.0,8.0,8623614.0,0.0,2713.0,1743.0,3309.0,796.0,2942121.0,127515.0,2963848.0,0.0,81028163.0,54433395.0,2212515371.0,2841651021.0,3262335.0,1667223.0,18815653.0,61583727.0,0.0,6124394.0,17578.0,24830.0,17515.0,138.0,2.0,724.0,74002.0,3120.0,31954.0,1182.0,1.0,0.0,154.0,2253.0,539.0,1.0,0.0,3608846.0,3608846.0,2626140.0,15623.0,0.0,12961.0,644666279.0,278629.0,107.0,33.0,1.0,74.0,112.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3605.0,7.0
normalized-10_20.opb.xz,0.0376560688018798,OPTIMUM FOUND,0.0112249,0.000816871,0.0103712,0.0297562,0.00318817,0.00322196,0.0113579,0.00396104,0.0120539,0.00131353,0.0,0.00417091,0.0,0.00122758,0.0,0.00189428,0.000375554,0.000667237,0.00180379,0.0,0.0,0.0,0.00371791,0.00346481,0.0,18.0,13046.0,2184.0,88.0,0.0,0.0,210.0,0.0,1120.0,20.0,36.0,8.16327,2795.85,0.512109,4.0,41.0,90.0,50.1259,2163720000.0,0.704665,13.2815,140.0,0.0,0.0,0.0,126.0,0.0,0.0,847.0,3.826e-05,0.0,0.0,0.0,568.0,40.0,0.0,241.0,0.0,8.0,1.0,11917.0,0.0,27.0,1.0,28.0,0.0,4524.0,7454.0,790.0,0.0,26055.0,12840.0,235085.0,208344.0,74.0,0.0,15029.0,71660.0,0.0,15178.0,240.0,900.0,87.0,36.0,0.0,0.0,121.0,0.0,16.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8034.0,8034.0,8034.0,240.0,0.0,244.0,224180.0,1754.0,9.0,7.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0
normalized-KE_690_001.opb.xz,7200.0,SATISFIABLE,302.488,0.373518,302.115,342.894,70.4328,186.389,113.81,45.2931,112.086,26.8356,0.00127771,50.5095,5.05436,6.79279,0.254219,128.729,7.8323,6.73285,17.2203,0.0,0.0,7.95,10.0663,35.842,3312.0,129.0,157164023.0,105464563.0,5233.0,28.0,1.0,91734.0,30838.0,32107.0,31873.0,9885.0,5834.33,451612.0,0.47874,1369.0,2902.0,2299.0,14997.1,3254930000.0,0.663529,11.6982,18.0,14.0,0.0,37.0,12185.0,0.0,0.0,7044.0,0.336318,0.0,0.0,626.0,897413.0,3.0,0.0,29861.0,82.0,122.0,187.0,9472184.0,0.0,61.0,39.0,85.0,1.0,5042654.0,109117433.0,4434835.0,0.0,90350032.0,2688956.0,7168340201.0,8276870865.0,29546.0,23489.0,105883098.0,1216300349.0,0.0,262633801.0,664.0,0.0,5937.0,6878.0,66309.0,0.0,5307.0,0.0,7029.0,310.0,16923.0,0.0,0.0,0.0,291.0,3.0,26559.0,-7646.0,-58662.0,,645.0,0.0,15242.0,6585727816.0,291029.0,7.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
normalized-7_14.opb.xz,0.0893280506134033,OPTIMUM FOUND,0.00911143,0.00142138,0.00759101,0.00388,0.00748315,0.000107865,3.19675e-05,0.0,0.00235168,0.000987228,0.0,0.00162292,0.0,0.00181871,0.0,0.00128058,0.000161308,0.00113157,0.00068668,0.0,0.0,0.0,0.0034378,0.000595608,0.0,1.0,2625.0,518.0,33.0,0.0,0.0,105.0,0.0,406.0,14.0,2.0,2.81991,210.64,0.501875,0.0,28.0,34.0,30.0806,212261000.0,0.763455,8.41935,0.0,0.0,0.0,0.0,36.0,0.0,0.0,413.0,1.8735e-05,0.0,0.0,0.0,252.0,28.0,0.0,105.0,0.0,0.0,0.0,847.0,0.0,1.0,0.0,1.0,0.0,638.0,1810.0,107.0,0.0,2901.0,792.0,14505.0,13590.0,0.0,0.0,3060.0,10408.0,0.0,3176.0,126.0,294.0,32.0,2.0,0.0,0.0,64.0,0.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5148.0,5148.0,5148.0,126.0,0.0,65.0,26950.0,350.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
normalized-lo_12x12_004.opb.metafix.opb.xz,0.0420570373535156,OPTIMUM FOUND,0.0242555,0.00260218,0.0215576,0.00638541,0.015569,0.00574749,0.00315278,0.000241109,0.000138534,0.00267053,0.0,0.00165229,0.0,0.000843059,0.0,0.00171888,0.000351548,0.000742058,0.0002722,0.0,0.0,0.01,0.0275645,0.00223158,1.0,1.0,3249.0,452.0,63.0,0.0,0.0,144.0,1.0,18.0,118.0,1.0,11.9124,6.11679,0.526443,16.0,15.0,45.0,21.7237,16.9868,0.356905,12.0789,12.0,0.0,7.0,0.0,46.0,0.0,0.0,321.0,1.2084e-05,0.0,3.0,0.0,69.0,12.0,0.0,579.0,0.0,3.0,0.0,1554.0,0.0,0.0,0.0,0.0,0.0,134.0,2538.0,340.0,0.0,5296.0,443.0,18932.0,13642.0,3.0,2.0,6552.0,11484.0,0.0,3752.0,133.0,0.0,63.0,2.0,2.0,0.0,468.0,0.0,109.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,61.0,61.0,61.0,126.0,0.0,278.0,309692.0,438.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-787.cudf.trendy.opb.xz,0.0861303806304931,OPTIMUM FOUND,0.0035152,0.00173483,0.00168235,0.000267863,0.00166035,2.2006e-05,3.25462e-06,0.0,0.0,4.0881e-05,9.67e-07,0.000171914,0.0,0.000447264,0.0,3.0646e-05,2.1719e-05,0.000314174,6.79781e-05,0.0,0.0,0.0,0.000885803,1.93878e-06,0.0,1.0,209.0,72.0,0.0,0.0,0.0,47.0,0.0,254.0,0.0,0.0,2.02362,1.0,0.519685,8.0,0.0,0.0,1.375,1.0,0.8125,0.375,35.0,0.0,213.0,0.0,0.0,0.0,0.0,68.0,6.846e-06,0.0,3.0,0.0,30.0,0.0,10.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,257.0,0.0,102.0,183.0,0.0,0.0,27.0,1133.0,0.0,251.0,243.0,11.0,5.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,33.0,0.0,4.0,360.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
