filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
normalized-50-750-false-45-90-4-4000opt.opb.xz,15.854630708694458,OPTIMUM FOUND,15.7815,0.0874223,15.694,12.581,1.85424,7.19463,5.78891,6.64514,5.68565,2.77677,0.0565169,10.7771,0.408747,1.03804,0.0381068,1.34916,0.195038,1.03237,0.974102,0.0,0.0,1.0,2.36801,2.90823,107.0,18.0,9832220.0,74226.0,34186.0,124.0,6.0,2025.0,454.0,43659.0,517.0,533.0,3.52238,1.36876,0.349428,45314.0,522.0,16620.0,34.6019,21831.7,0.114837,10.5678,916.0,0.0,11076.0,26679.0,17153.0,0.0,0.0,18924.0,0.00783795,104.0,521.0,3884.0,61185.0,412.0,138.0,912302.0,491119.0,8166.0,1.0,856140.0,0.0,0.0,0.0,0.0,0.0,7843243.0,313533.0,1587233.0,0.0,67412600.0,6140327.0,251813631.0,26245275.0,7158628.0,3977795.0,6497638.0,13140792.0,0.0,9939811.0,41547.0,1726.0,47823.0,161.0,1275.0,8364.0,265390.0,2773.0,267484.0,1470.0,301797.0,47.0,13577.0,141.0,59623.0,2.0,0.0,-82.0,-82.0,,30318.0,0.0,6000.0,540012000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-factor-size=9-P=269-Q=359.opb.xz,0.1353621482849121,OPTIMUM FOUND,0.0873817,0.000607929,0.0867416,0.0536273,0.00247599,0.0838237,0.0506623,0.000441884,0.000497507,0.0208135,0.00014877,0.0595842,0.0,0.000474695,0.0,0.00412734,0.000743353,0.000446342,0.00100599,0.0,0.0,0.0,0.00841266,0.00531473,2.0,2.0,11841.0,981.0,353.0,2.0,0.0,99.0,1.0,244.0,1.0,7.0,3.06746,1038.57,0.446086,91.0,0.0,301.0,34.1964,34846000.0,0.256234,7.76786,93.0,0.0,0.0,0.0,308.0,0.0,0.0,536.0,0.000171771,13.0,1.0,13.0,220.0,0.0,0.0,6745.0,732.0,280.0,0.0,8049.0,0.0,0.0,0.0,0.0,0.0,9664.0,1.0,1802.0,0.0,168668.0,117804.0,348251.0,760846.0,13197.0,16072.0,57310.0,132216.0,0.0,13084.0,245.0,0.0,354.0,5.0,2.0,0.0,5866.0,0.0,629.0,0.0,0.0,0.0,0.0,0.0,177.0,2.0,0.0,269.0,269.0,188.984,245.0,0.0,702.0,511758.0,1988.0,28.0,28.0,3.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0
normalized-NG.dot_unif_50null10mast_rapportOE2.0_TMAX180_K192_cod2.opb.xz,7200.0,UNKNOWN,25.144,2.09716,23.0467,23.3034,23.0467,0.0,0.0,0.0,0.0,0.0,0.0,0.787219,0.0,0.0,0.0,0.0,0.113622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400896.0,0.0,32285334.0,1977.0,1.0,2.04749,1.01431,0.497356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132216074.0,0.0,0.0,402763.0,31884549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-536523.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-fir04_area_opers.opb.xz,0.1378953456878662,OPTIMUM FOUND,0.117471,0.0204498,0.0968977,0.122863,0.0869626,0.00751114,0.0180425,0.00242404,0.00436353,0.00281731,2.726e-06,0.0400898,0.0,0.0647023,0.0,0.00642345,0.000982659,0.0571867,0.0642082,0.0,0.0,0.01,0.0334474,0.0291577,1.0,3.0,240343.0,13101.0,80.0,0.0,0.0,1614.0,1.0,5558.0,8.0,1.0,3.29459,1.75409,0.472914,12.0,832.0,10.0,41.3197,45.1944,0.755258,5.56792,1049.0,0.0,3.0,0.0,11.0,0.0,0.0,11884.0,4.8656e-05,0.0,661.0,0.0,7969.0,773.0,0.0,256.0,0.0,1.0,0.0,6471.0,0.0,0.0,0.0,0.0,0.0,213012.0,19877.0,169.0,0.0,273798.0,55.0,97777.0,509468.0,0.0,0.0,39791.0,126376.0,0.0,252476.0,2783.0,2775.0,80.0,7.0,2.0,0.0,165.0,0.0,88.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,29.0,29.0,2780.0,0.0,713.0,5056596.0,1496.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-evencolouring_opt_unit_random6regular_nvert_751.opb.xz,637.4177961349487,OPTIMUM FOUND,637.333,0.0220605,637.311,808.608,3.5384,310.342,402.396,323.43,406.024,77.1035,0.675943,477.714,9.5026,3.53275,0.373297,72.0343,10.1005,3.51855,2.89078,0.0,0.0,94.45,106.845,80.8608,0.0,131.0,14262150.0,40776223.0,362500.0,873.0,49.0,3004.0,0.0,0.0,3269.0,0.0,65.9397,52.531,0.526047,359405.0,6834.0,344230.0,581.739,4048530000.0,0.0386717,58.0287,757.0,0.0,13653.0,15330.0,344230.0,0.0,0.0,257176.0,0.0441569,0.0,0.0,5.0,17.0,0.0,0.0,3096914.0,536432.0,32653.0,3524.0,41554344.0,0.0,0.0,0.0,0.0,0.0,48790.0,9323175.0,4096621.0,0.0,2504322616.0,130781378.0,65456888723.0,10981710590.0,134659835.0,5275023.0,657575698.0,1768685968.0,0.0,55400116.0,3008.0,0.0,370235.0,261.0,0.0,324588.0,1518447.0,0.0,998477.0,39270.0,0.0,923.0,0.0,0.0,4120.0,0.0,0.0,1.0,1.0,,1502.0,0.0,1183119.0,13326333535.0,7064091.0,85455.0,80195.0,25929.0,5259.0,7278.0,8363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470138.0,65539.0
normalized-KE_630_002.opb.xz,7200.0,SATISFIABLE,229.216,0.244376,228.971,335.596,73.4241,117.376,116.501,38.1711,101.192,24.7339,0.00317191,55.0353,2.14736,5.82785,0.13281,91.8394,7.87333,5.81004,11.3658,0.0,0.0,11.92,13.5515,37.2725,3191.0,166.0,115007150.0,82828899.0,6656.0,30.0,2.0,58882.0,23199.0,24278.0,24194.0,10410.0,4733.29,358776.0,0.468981,4389.0,2695.0,3482.0,20820.2,3944650000.0,0.42836,27.4062,15.0,10.0,6.0,1113.0,13892.0,0.0,0.0,7046.0,0.177701,0.0,0.0,741.0,565023.0,6.0,0.0,45066.0,1273493.0,177.0,178.0,9638709.0,0.0,0.0,0.0,0.0,0.0,5139557.0,73032301.0,4698991.0,0.0,72387940.0,3549698.0,9422731791.0,9466875360.0,69366.0,62283.0,128656831.0,1200851754.0,0.0,197842690.0,575.0,0.0,7197.0,6924.0,51373.0,2617.0,9125.0,0.0,10777.0,447.0,24304.0,0.0,0.0,0.0,395.0,2.0,18534.0,-6574.0,-45013.0,,562.0,0.0,24069.0,6801661806.0,498911.0,8.0,4.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
normalized-mult_diagcomm_opt_greater_teq_nbits_10.opb.xz,0.3987336158752441,OPTIMUM FOUND,0.381522,0.0101442,0.371286,0.337838,0.0624239,0.198799,0.202035,0.110062,0.100798,0.095143,0.00110866,0.181989,0.00868858,0.0385129,0.000307544,0.0302239,0.00558207,0.0375817,0.0394527,0.0,0.0,0.06,0.111915,0.0485561,15.0,1.0,276150.0,10613.0,2684.0,14.0,1.0,640.0,17.0,1288.0,20.0,603.0,3.56829,4382.64,0.475027,3422.0,2.0,1629.0,19.532,113324000.0,0.206029,3.26123,22.0,0.0,0.0,2690.0,2232.0,0.0,0.0,7432.0,0.000344701,5.0,175.0,227.0,1631.0,0.0,0.0,57801.0,4822.0,233.0,0.0,23255.0,0.0,0.0,0.0,0.0,0.0,173484.0,487.0,97938.0,0.0,1424230.0,495272.0,4316548.0,1957680.0,23228.0,36331.0,302358.0,537110.0,0.0,289426.0,1778.0,40.0,4486.0,44.0,49.0,0.0,46831.0,311.0,6509.0,714.0,610.0,0.0,0.0,35.0,2731.0,0.0,2.0,0.0,0.0,-6.29674e-11,1280.0,0.0,2143.0,8210464.0,3371.0,3.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0
normalized-libnkf-perl.cudf.trendy.opb.xz,13.002778053283691,OPTIMUM FOUND,12.2936,0.364784,11.9287,11.2632,6.59366,2.06206,1.42614,3.27299,1.51964,0.0932559,0.000955019,4.17786,0.0,5.58397,0.0,0.328223,0.494329,0.131996,0.356115,0.0,0.0,0.13,0.410353,3.51384,227.0,205.0,7869007.0,3264772.0,1854.0,12.0,0.0,21104.0,63.0,4465469.0,1624.0,705.0,2.65645,2394750000.0,0.496931,1967.0,14.0,69.0,43.9639,113441000.0,0.509015,2.99366,16726.0,0.0,155362.0,0.0,290.0,484.0,0.0,899.0,0.0126949,250.0,294.0,38.0,7456.0,3.0,126.0,5937.0,82.0,1.0,0.0,80524.0,0.0,0.0,0.0,0.0,0.0,6622460.0,598068.0,448154.0,0.0,9913577.0,1176524.0,29891092.0,747928411.0,0.0,0.0,193618.0,26501206.0,0.0,11118934.0,99901.0,4367061.0,1916.0,700.0,136.0,0.0,5522.0,6.0,306.0,67.0,19.0,0.0,0.0,3.0,14.0,168.0,0.0,3258634294888.0,3258634294888.0,,96722.0,0.0,2000.0,652464000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-m50_100_70_70.r.opb.xz,0.0500733852386474,OPTIMUM FOUND,0.0322057,0.00477215,0.0273388,0.0107292,0.0215072,0.00573442,0.00257842,9.7189e-05,0.000106809,0.00252263,3.178e-06,0.0013568,0.0,0.0107317,0.0,0.0017588,0.00122607,0.00015764,5.01723e-05,0.0,0.0,0.01,0.0196737,0.00654838,1.0,2.0,618.0,530.0,69.0,0.0,0.0,100.0,1.0,51.0,6.0,0.0,71.9825,7.87719,0.0997246,31.0,29.0,10.0,50.4143,9.92857,0.308626,33.8714,1.0,0.0,0.0,0.0,10.0,0.0,0.0,202.0,3.016e-06,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,2.0,650.0,0.0,0.0,0.0,0.0,0.0,81.0,415.0,15.0,0.0,4956.0,77.0,73186.0,17689.0,1.0,3.0,12680.0,16964.0,0.0,1216.0,50.0,0.0,69.0,5.0,2.0,0.0,67.0,0.0,155.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.34168,50.0,0.0,161.0,563500.0,2730.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-may6.5.opb.xz,1.603116750717163,OPTIMUM FOUND,1.58097,0.142755,1.43812,3.56759,0.718447,0.151585,1.22314,0.568083,1.13083,0.318637,0.000602705,0.640582,0.031874,0.112647,0.00425356,0.143062,0.0480766,0.106355,0.256152,0.0,0.0,0.19,0.411324,1.07658,0.0,16.0,6197696.0,238612.0,9111.0,37.0,2.0,9632.0,0.0,29629.0,281.0,928.0,3.50499,1.62099,0.398541,9647.0,1692.0,3673.0,36.3121,70.5868,0.237842,19.9632,2503.0,58.0,1292.0,1573.0,4601.0,0.0,0.0,23144.0,0.00162969,302.0,10.0,3776.0,57071.0,1021.0,0.0,109487.0,2872.0,2936.0,46.0,80157.0,0.0,0.0,0.0,0.0,0.0,5660698.0,438082.0,78711.0,0.0,10409992.0,557032.0,38403877.0,12381985.0,1463498.0,158015.0,1215512.0,2156132.0,0.0,6442923.0,30735.0,13.0,9489.0,32.0,0.0,698.0,68688.0,220.0,31040.0,886.0,0.0,0.0,8249.0,0.0,404.0,0.0,0.0,43.0,43.0,,28328.0,0.0,2000.0,199904000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
