filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
normalized-fx57.opb.xz,1.4526259899139404,OPTIMUM FOUND,1.29086,0.0447573,1.24606,0.834442,0.733088,0.51297,0.45981,0.0,0.0,0.157115,0.000175111,0.297133,0.0,0.650143,0.0,0.154285,0.0291203,0.0649742,0.10024,0.0,0.0,0.01,0.18758,0.0839085,0.0,1.0,609669.0,8926.0,1039.0,6.0,0.0,2850.0,0.0,268995.0,58.0,384.0,2.09866,1.91657,0.500626,137.0,12.0,901.0,249.55,7628.31,0.310978,29.0686,6.0,0.0,2845.0,0.0,1285.0,0.0,0.0,1555.0,0.000111725,0.0,0.0,0.0,1647.0,11.0,0.0,7903.0,73.0,348.0,1.0,105841.0,0.0,0.0,0.0,0.0,0.0,3059.0,467728.0,134346.0,0.0,296317.0,159797.0,12791861.0,5861473.0,1802.0,965.0,567404.0,2729449.0,0.0,619628.0,3343.0,266094.0,1039.0,0.0,0.0,0.0,5571.0,0.0,2332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,498.0,0.0,565.0,15580440.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-simp-unif-100_100.00.opb.xz,3.196588516235352,OPTIMUM FOUND,3.13066,0.88235,2.24823,3.76439,1.04448,0.383754,1.29482,0.819987,1.05498,0.513539,0.031897,1.05535,0.120172,0.251068,0.0163687,0.265609,0.110946,0.160003,0.308376,0.0,0.0,0.09,0.236253,0.977856,27.0,52.0,4091137.0,81589.0,16860.0,62.0,3.0,8601.0,37.0,126183.0,2003.0,17.0,2.21889,1.04384,0.49515,21152.0,926.0,1231.0,41.6244,33.2369,0.111312,11.2929,6142.0,4.0,12842.0,8922.0,1248.0,0.0,0.0,6252.0,0.00720093,11.0,69.0,212.0,35167.0,335.0,453.0,390588.0,140917.0,52.0,5.0,104498.0,0.0,0.0,0.0,0.0,0.0,3752190.0,241864.0,59864.0,0.0,12286643.0,912109.0,43107178.0,8735386.0,264354.0,1058947.0,5536496.0,5683048.0,0.0,4183855.0,48910.0,79031.0,22154.0,164.0,94.0,413.0,198080.0,11891.0,147820.0,68.0,16331.0,7.0,5287.0,4.0,11100.0,4.0,0.0,34.0,34.0,,38401.0,0.0,2000.0,181572000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-KE_340_006.opb.xz,191.45001935958865,OPTIMUM FOUND,191.378,0.0289499,191.349,222.674,1.44396,108.522,110.661,81.3828,110.546,41.1607,0.608528,107.321,3.61996,20.637,0.151509,37.9667,2.90824,20.6318,17.2808,0.0,0.0,3.55,9.62673,22.3415,353.0,38.0,87232928.0,460899.0,22340.0,77.0,4.0,9483.0,2560.0,2068.0,3138.0,2735.0,721.338,43588.4,0.497481,25945.0,535.0,20272.0,1109.92,62185800000.0,0.350967,19.2307,11137.0,1.0,8612.0,9783.0,23007.0,0.0,0.0,17698.0,0.23831,5690.0,29.0,6753.0,151634.0,99.0,1047.0,800170.0,367576.0,3259.0,87.0,59847660.0,0.0,0.0,0.0,0.0,0.0,857996.0,39485571.0,43158330.0,0.0,175479396.0,48256716.0,13990610603.0,4809579068.0,37787512.0,2937407.0,232821227.0,456093714.0,0.0,87705155.0,421.0,0.0,32123.0,392.0,7127.0,5580.0,96978.0,0.0,131640.0,133.0,554928.0,1.0,706.0,1.0,10007.0,63.0,247.0,-10524.0,-10524.0,-10524.0,257.0,0.0,47839.0,2147933202.0,8370888.0,371.0,105.0,54.0,266.0,271.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5772.0,4.0
Init-x1-i3_pp_87_merged.opb.xz,16.09041166305542,OPTIMUM FOUND,15.9267,0.837752,15.0889,22.2263,4.25845,5.7902,6.40719,5.04022,5.46754,2.23488,0.00264817,4.71095,0.222758,3.33243,0.0,2.87852,0.352033,1.17435,1.67796,0.0,0.0,0.83,3.73271,9.89887,7.0,1.0,37795691.0,321873.0,3598.0,17.0,1.0,99544.0,15.0,133598.0,14132.0,11.0,8.50981,4.23764,0.500021,900.0,858.0,2428.0,455.542,1940.19,0.652441,15.9374,6218.0,0.0,4151.0,6081.0,2439.0,0.0,0.0,921.0,0.0464456,596.0,40.0,71.0,236537.0,39.0,2884.0,40413.0,72.0,121.0,186.0,2392377.0,0.0,0.0,0.0,0.0,0.0,1281236.0,35088211.0,1103363.0,0.0,5312253.0,216005.0,105162929.0,116000674.0,44944.0,2669.0,5385547.0,12061331.0,0.0,38115000.0,117405.0,30289.0,3967.0,8.0,39.0,0.0,32285.0,1.0,8094.0,0.0,28.0,0.0,3.0,1.0,1.0,1.0,1.0,346.0,346.0,,111655.0,0.0,2000.0,1838060000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-Generated_notes_20140709_1000_0.10-021.opb.xz,7200.0,SATISFIABLE,160.868,0.832641,160.035,203.021,53.9178,89.266,62.6588,16.8516,46.793,13.3692,0.00215879,43.7685,0.0,0.0836526,0.0,31.1111,8.00127,0.0324718,0.101216,0.0,0.0,4.04,8.64211,15.8594,983.0,178.0,25681543.0,20416382.0,848.0,6.0,0.0,259110.0,51343.0,52857.0,53031.0,2684.0,2861.53,287247.0,0.509982,740.0,886.0,474.0,27904.1,60418700000.0,0.613011,14.0833,101547.0,1227.0,902.0,0.0,3159.0,0.0,0.0,1008.0,0.381193,0.0,0.0,653.0,1241612.0,1.0,0.0,55897.0,130.0,117.0,27.0,2593977.0,0.0,0.0,0.0,0.0,0.0,2028346.0,17758627.0,874993.0,0.0,49116785.0,754451.0,4489229598.0,15971028402.0,21331.0,8016.0,154547942.0,888549093.0,0.0,45997226.0,1828.0,0.0,1427.0,2321.0,103196.0,0.0,974.0,0.0,718.0,209.0,53825.0,0.0,0.0,0.0,145.0,1.0,50351.0,-11046.0,-202838.0,,926.0,0.0,3763.0,2332380478.0,2562731.0,20.0,11.0,1.0,8.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
normalized-10_20.opb.xz,0.1556012630462646,OPTIMUM FOUND,0.0428889,0.028183,0.014663,0.0390364,0.00358887,0.00059959,0.00442895,0.0104746,0.0303158,0.00336363,9.94e-07,0.00555913,0.0,0.00117833,0.0,0.00325293,0.000416595,0.000641305,0.00178319,0.0,0.0,0.01,0.00381852,0.00437266,1.0,3.0,13746.0,1499.0,193.0,1.0,0.0,210.0,1.0,1120.0,21.0,9.0,3.68,611.508,0.502075,14.0,40.0,187.0,52.0871,667118000.0,0.665891,9.89212,108.0,0.0,0.0,0.0,196.0,0.0,0.0,836.0,9.003e-05,1.0,0.0,0.0,547.0,40.0,0.0,1316.0,56.0,13.0,0.0,18030.0,0.0,0.0,0.0,0.0,0.0,4839.0,6011.0,2337.0,0.0,39558.0,14595.0,418344.0,217551.0,6.0,18.0,29399.0,88882.0,0.0,15333.0,240.0,900.0,195.0,8.0,2.0,0.0,986.0,0.0,218.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8034.0,8034.0,8034.0,240.0,0.0,238.0,216860.0,2490.0,6.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0
normalized-minisat15_5_3_4_mh.opb.xz,146.73770689964294,OPTIMUM FOUND,146.679,0.0600301,146.619,122.346,0.265894,77.6085,61.7356,68.7447,60.173,14.3492,0.0116411,117.096,2.08649,11.9613,0.0774835,12.6912,0.394145,11.9257,10.9403,0.0,0.0,4.8,10.5475,12.2764,2.0,61.0,12264599.0,74644.0,27447.0,95.0,5.0,6810.0,1.0,41001.0,103.0,4197.0,9.71996,1413400.0,0.490629,30376.0,1605.0,39632.0,284.309,4367160000.0,0.557882,14.7544,5661.0,645.0,40616.0,24488.0,43829.0,0.0,0.0,11110.0,0.163664,1743.0,103.0,3374.0,143179.0,478.0,1529.0,327551.0,371721.0,1571.0,7.0,23221959.0,0.0,0.0,0.0,0.0,0.0,6525024.0,380499.0,5264375.0,0.0,347084960.0,248295007.0,8235165027.0,8325969713.0,6503291.0,3705170.0,52562693.0,165355026.0,0.0,12362425.0,19350.0,25180.0,45045.0,124.0,2.0,20664.0,171603.0,13741.0,102908.0,3075.0,1.0,238.0,1947.0,13757.0,6016.0,2.0,0.0,3608846.0,3608846.0,2626140.0,15623.0,0.0,40531.0,2008097554.0,1135787.0,532.0,254.0,20.0,277.0,455.0,242.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14003.0,262.0
normalized-KE_690_001.opb.xz,7200.0,SATISFIABLE,271.124,0.340012,270.784,416.739,65.1961,153.519,160.958,52.0692,146.359,35.7003,0.000868924,72.1498,3.79034,8.0802,0.203988,79.3508,10.0461,8.05412,18.9535,0.0,0.0,10.11,15.5167,51.2361,3140.0,95.0,157219302.0,92654645.0,5194.0,27.0,1.0,91734.0,30661.0,31923.0,31717.0,10248.0,5856.44,427571.0,0.474359,1449.0,2700.0,2645.0,20004.5,10139500000.0,0.611912,14.8787,19.0,14.0,4.0,1378.0,12894.0,0.0,0.0,8283.0,0.175678,0.0,0.0,765.0,879368.0,20.0,0.0,69550.0,732.0,128.0,163.0,9926911.0,0.0,0.0,0.0,0.0,0.0,6070903.0,109547223.0,4031177.0,0.0,70231091.0,2633702.0,13472145680.0,15041950454.0,29113.0,21767.0,228294024.0,1434205869.0,0.0,249879122.0,664.0,0.0,5958.0,7497.0,65713.0,0.0,8395.0,0.0,8044.0,327.0,52282.0,0.0,0.0,0.0,413.0,4.0,26563.0,-6278.0,-58806.0,,645.0,0.0,19031.0,8314072588.0,5019754.0,56.0,9.0,10.0,44.0,44.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,2.0
normalized-7_14.opb.xz,0.1318428516387939,OPTIMUM FOUND,0.00800896,0.000471269,0.0074943,0.0151038,0.00315669,0.000989475,0.00537798,0.00334814,0.00804112,0.00173817,5.41e-07,0.00277882,0.0,0.000552282,0.0,0.00167479,0.000235189,0.000352145,0.000703001,0.0,0.0,0.0,0.00174089,0.00176173,1.0,3.0,5186.0,779.0,124.0,1.0,0.0,105.0,1.0,406.0,15.0,9.0,4.13953,709.735,0.504861,13.0,28.0,118.0,36.434,2180030000.0,0.597892,10.6667,86.0,0.0,0.0,0.0,127.0,0.0,0.0,425.0,5.2222e-05,0.0,0.0,0.0,252.0,28.0,0.0,728.0,50.0,15.0,0.0,4366.0,0.0,0.0,0.0,0.0,0.0,1831.0,1989.0,1038.0,0.0,19992.0,7955.0,175320.0,61662.0,22.0,7.0,14093.0,40738.0,0.0,6004.0,126.0,294.0,124.0,8.0,2.0,0.0,487.0,0.0,159.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5148.0,5148.0,5148.0,126.0,0.0,100.0,45600.0,1178.0,7.0,1.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,12.0
normalized-lo_12x12_004.opb.metafix.opb.xz,0.064286470413208,OPTIMUM FOUND,0.0485282,0.0025454,0.0458981,0.0213424,0.00850951,0.0371731,0.0192246,0.000215531,0.000138534,0.0130803,0.0,0.0147189,0.0,0.000841322,0.0,0.00943078,0.00139734,0.000729993,0.000285443,0.0,0.0,0.02,0.0194154,0.00231859,1.0,1.0,12604.0,829.0,277.0,2.0,0.0,144.0,1.0,18.0,118.0,1.0,11.9124,6.11679,0.526443,58.0,17.0,217.0,25.0103,199025000.0,0.32787,11.6644,12.0,0.0,7.0,0.0,218.0,0.0,0.0,331.0,2.3456e-05,0.0,3.0,0.0,70.0,13.0,0.0,2366.0,0.0,8.0,0.0,9742.0,0.0,0.0,0.0,0.0,0.0,445.0,8584.0,2586.0,0.0,25518.0,3136.0,157172.0,64010.0,74.0,69.0,30406.0,45184.0,0.0,13698.0,133.0,0.0,277.0,2.0,2.0,0.0,1874.0,0.0,473.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,61.0,61.0,61.0,126.0,0.0,226.0,251764.0,748.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
